sleeper_id,full_name,position,fantasy_positions,active,status,team,injury_status,years_exp,gsis_id
13525,Beau Stephens,G,,True,Active,SEA,,0.0,
439,JJ Jansen,LS,LS,True,Active,CAR,,18.0,00-0026027
6858,James Lynch,DT,DL,True,Active,CHI,,6.0,
1510,Jordan Mills,T,OL|OT,True,Active,,,9.0,00-0030046
12785,Dom Jones,DB,DB,True,Active,,Questionable,1.0,
4925,Jordan Wade,G,OL,True,Active,OAK,,1.0,
3620,Bralon Addison,WR,WR,False,Inactive,,,6.0,00-0032482
11155,Christian Sims,TE,TE,True,Active,,,1.0,
12814,Josh Kaltenberger,OL,OL,True,Active,LAC,,1.0,
1995,Telvin Smith,LB,LB,False,Injured Reserve,,,8.0,00-0031309
10926,Marte Mapu,DB,DB,True,Inactive,HOU,Questionable,3.0,
9504,Kayshon Boutte,WR,WR,True,Active,HOU,,3.0,
4828,Rashard Davis,WR,WR,True,Active,,,5.0,00-0034034
1914,Dri Archer,RB,RB,False,Inactive,,,6.0,
11525,Daniel Whelan,P,P,True,Active,,,4.0,
1711,Darren Woodard,CB,DB,False,Inactive,,,1.0,
4396,Drew Morgan,WR,WR,True,Active,,,5.0,00-0033407
12633,Wyatt Milum,OL,OL,True,Active,JAX,Questionable,1.0,
4038,John Ross,WR,WR,True,Active,,,7.0,00-0033460
1148,Kyle Wilber,LB,LB,True,Active,,,10.0,00-0029647
12507,Omarion Hampton,RB,RB,True,Active,LAC,,1.0,
914,Leonard Hankerson,WR,WR,False,Inactive,,,9.0,
1649,Jordan Kovacs,DB,DB,False,Inactive,,,7.0,
12758,Hayden Harris,DE,DL,True,Active,,,0.0,
13786,Austin Brown,DB,DB,True,Active,,,0.0,
11439,Jaleel McLaughlin,RB,RB,True,Active,CLE,,3.0,
11282,Johnny King,WR,WR,True,Active,,,1.0,
3730,Tevin Jones,WR,WR,True,Active,,,6.0,00-0032728
7153,Kyle Hinton,G,OL,True,Active,ATL,,6.0,
3414,Anthony Sarao,ILB,LB,True,Active,,,9.0,
186,DeMarcus Ware,DE,DL|LB,False,Inactive,,,15.0,
13558,Tim Keenan,DT,DL,True,Active,,,0.0,
13302,Adam Randall,RB,RB,True,Inactive,BAL,IR,0.0,
11450,Tyler Beach,OL,OL,True,Active,,,1.0,
11109,Mark Evans,OL,OL,True,Active,,,1.0,
1150,Shea McClellin,LB,LB,False,Inactive,,,8.0,
1813,Randell Johnson,LB,LB,False,Inactive,,,6.0,
4788,Duplicate Player,CB,DB,False,Inactive,,,1.0,
8533,Josh Sokol,C,,True,Active,,,1.0,
2330,Shaq Thompson,LB,LB,True,Active,BUF,,11.0,00-0031550
1609,Chris Pantale,TE,TE,False,Inactive,,,9.0,
5718,Ryan Yurachek,TE,TE,True,Active,,,4.0,00-0034725
3916,David Watford,WR,WR,True,Active,,,6.0,
12964,Michael Tarquin,OT,OT,True,Active,,,1.0,
12452,Ralph Holley,DT,DL,True,Active,,,1.0,
6639,Terrell Bonds,CB,DB,True,Active,,,3.0,
5530,Evan Berry,WR,WR,True,Active,,,4.0,
11445,Taylor Grimes,WR,WR,True,Active,,,1.0,
174,Jay Ratliff,NT,DL,False,Inactive,,,15.0,
5619,Dalyn Dawkins,RB,RB,True,Active,,,4.0,00-0034654
5122,Boston Scott,RB,RB,True,Active,,,6.0,00-0034414
7823,Nate Hobbs,CB,DB,True,Inactive,SF,IR,5.0,
5396,Sergio Bailey II,WR,WR,False,Inactive,,NA,0.0,
7160,Ledarius Mack,LB,DL|LB,True,Inactive,,,2.0,
2854,Kenneth Horsley,DT,DL,True,Active,,,10.0,
11629,Devontez Walker,WR,WR,True,Active,BAL,,2.0,
6623,Jomon Dotson,DB,DB,True,Inactive,,,3.0,
5031,Oren Burks,LB,LB,True,Active,CIN,,8.0,00-0034754
13295,Behren Morton,QB,QB,True,Active,NE,,0.0,
13024,Jay Higgins,LB,LB,True,Active,BAL,Questionable,1.0,
680,Kory Lichtensteiger,C,OL,False,Inactive,,,12.0,
12446,Marvin Moody,LB,LB,True,Active,,,2.0,
526,Arthur Jones,DE,DL,False,Inactive,,,12.0,
12342,Travis Benham,P,P,True,Active,,,1.0,
7229,Dieter Eiselen,OL,OL,True,Active,,,5.0,
6478,Ryan Crozier,G,OL,True,Active,,,3.0,00-0034947
3060,Kevin Coyle,,,False,Inactive,,,,
2109,Ryan Groy,G,OL,True,Inactive,,,8.0,00-0031128
5003,Shaquem Griffin,LB,LB,True,Active,,,4.0,00-0034755
355,Brian Leonard,RB,RB,False,Inactive,,,7.0,
14033,Larry Worth,DB,DB,True,Active,,,0.0,
506,David Nelson,WR,WR,False,Inactive,,,5.0,
737,Mickey Shuler,TE,TE,False,Inactive,,,10.0,
12766,Devin Brandt-Epps,DL,DL,True,Active,,,0.0,
1749,Jake Stoneburner,TE,TE,False,Inactive,,,7.0,
4758,Brett Veach,,,False,Inactive,,,0.0,
8361,Damarion Williams,DB,DB,True,Inactive,,Questionable,4.0,
3054,Tyreek Burwell,T,OL,False,Inactive,,,5.0,00-0032078
2320,Melvin Gordon,RB,RB,True,Active,,,9.0,00-0032144
11037,Cory Trice,CB,DB,True,Active,,Questionable,3.0,
1100,Jared Crick,DE,DL,False,Inactive,,,8.0,
1895,AJ McCarron,QB,QB,True,Active,,,10.0,00-0031288
11906,Ty James,WR,WR,True,Active,,,1.0,
5040,Tarvarius Moore,DB,DB,True,Active,,,7.0,00-0034263
12493,Oronde Gadsden,TE,TE,True,Active,LAC,,1.0,
2496,Malcolm Johnson,FB,RB,True,Active,,,7.0,00-0032068
3876,Michael Wakefield,OLB,LB,False,Inactive,,,0.0,
13523,Dalton Johnson,DB,DB,True,Active,LV,,0.0,
7144,Clay Johnston,LB,LB,True,Active,,,4.0,
3728,Brian Price,DT,DL,True,Injured Reserve,,,6.0,00-0032649
6581,Derick Roberson,LB,LB,True,Active,,,3.0,00-0035521
4712,Johnny Ragin,ILB,LB,True,Active,,,5.0,
1660,Brynden Trawick,FS,DB,True,Active,,,9.0,00-0030020
287,Brad Smith,WR,WR,False,Inactive,,,9.0,
7258,Luke Sellers,FB,RB,True,Inactive,,,2.0,
3040,David Irving,DE,DL,True,Inactive,,,7.0,00-0031997
14050,Courtland Ford,OL,OL,True,Active,,,0.0,
12028,TaMerik Williams,RB,RB,True,Active,,,1.0,
521,Jeff Cumberland,TE,TE,False,Inactive,,,10.0,
7399,Bejour Wilson,CB,DB,True,Active,,,2.0,
1279,Orie Lemon,LB,LB,False,Inactive,,,9.0,
4379,Geoff Gray,G,OL,False,Inactive,,,5.0,
1991,Rashaad Reynolds,CB,DB,True,Active,,,8.0,
11512,Tyrus Wheat,DE,DL,True,Active,DAL,,3.0,
12699,LaJohntay Wester,WR,WR,True,Active,BAL,,1.0,
3488,D.J. Foster,RB,RB,True,Inactive,,,6.0,00-0032577
11044,Nick Broeker,OL,OL,True,Active,BUF,,3.0,
630,Phillip Adams,CB,DB,False,Inactive,,,10.0,
5557,Emmanuel Beal,ILB,LB,True,Active,,,4.0,00-0034232
4909,Duce Staley,RB,RB,False,Inactive,,,0.0,
1412,Shamarko Thomas,SS,DB,False,Inactive,,,9.0,00-0030412
3697,Kyle Rose,NT,DL,False,Inactive,,,0.0,
14079,Keveion'ta Spears,DT,DL,True,Active,,,0.0,
4281,Josh Carraway,OLB,LB,False,Inactive,,,5.0,00-0033794
13323,Rahsul Faison,RB,RB,True,Active,,,0.0,
12244,DeAngelo Hardy,WR,WR,True,Active,,,1.0,
13233,Joey Lombard,OL,OL,True,Active,,,1.0,
7497,Kamaal Seymour,OT,OL|OT,True,Active,,,2.0,
489,Jamon Meredith,T,OL,False,Inactive,,,11.0,
1387,Rex Burkhead,RB,RB,True,Active,,,10.0,00-0030288
3759,Gabe Hughes,TE,TE,False,Inactive,,,0.0,
8030,Emmanuel Rugamba,CB,DB,True,Active,,,1.0,
5832,Mercy Maston,CB,DB,True,Active,,,3.0,00-0034904
11122,Andrew Farmer,LB,LB,True,Inactive,SF,IR,3.0,
6559,Tanner Volson,C,OL,True,Active,,,3.0,00-0035439
7386,Malcolm Elmore,DB,DB,True,Active,,,2.0,
7553,Kyle Pitts,TE,TE,True,Active,ATL,,5.0,
5143,Demario Richard,RB,RB,True,Active,,,4.0,
5308,Duplicate Player,DE,DL,False,Inactive,LAR,Out,1.0,
12640,Teddye Buchanan,LB,LB,True,Active,BAL,Questionable,1.0,
1172,Don Barclay,G,OL,False,Inactive,,,8.0,00-0029187
5617,Austin Barnard,P,P,True,Active,,,4.0,00-0034651
5664,Trent Harris,LB,LB,True,Active,,,5.0,00-0034588
2874,Leon Mackey,DE,DL,False,Inactive,,,1.0,
4065,Derek Barnett,DE,DL,True,Active,CLE,,9.0,00-0033876
7501,Evan Foster,S,DB,False,Inactive,,,0.0,
8410,Jequez Ezzard,WR,WR,True,Active,,,1.0,
12694,RJ Mickens,DB,DB,True,Active,LAC,,1.0,
5845,Dwayne Haskins,QB,QB,False,Active,PIT,,3.0,00-0035232
2025,Albert Wilson,WR,WR,True,Active,,,9.0,00-0030669
5838,Phillip Andersen,K,K,True,Active,,,3.0,
12300,Joshua Lingenfelter,TE,TE,True,Active,,,1.0,
767,Chris Baker,DT,DL,False,Inactive,,,11.0,
8645,Benjie Franklin,CB,DB,True,Active,,,1.0,
