yprr,weighted_opportunity,aging_curve_position,feature_season,route_participation,total_points_t,dakota,air_yards_share,ppg_t_minus_1,ppg_t,is_dual_threat,age,pass_attempts,cpoe,dropback_count,depth_chart_position,games_t,snap_share_t_minus_1,target_share_nfl,snap_share,ppg_t_minus_2,epa_per_dropback,player_id,team,tprr,aging_curve_value,position,avg_ppg_t1_t2
,0.0022624434389140274,,2018,,321.02,,0.0,,16.89578947368421,False,41.0,695,0.06949669807507615,,QB,19,,0.0015082956259426848,0.9800000000000001,,6.076996005000594,00-0019596,NE,,0.36,QB,18.443852941176473
,0.0,,2019,,270.04,,0.0,16.89578947368421,15.884705882352943,False,42.0,650,-2.6656730283164514,,QB,17,0.9800000000000001,0.0,0.9882352941176471,,1.675685785045235,00-0019596,NE,,0.28,QB,21.205184210526316
,0.0,,2020,,420.06,,0.0,15.884705882352943,21.003,False,43.0,748,2.7263728246388252,,QB,20,0.9882352941176471,0.0,0.967,16.89578947368421,8.632846591500448,00-0019596,TB,,0.2,QB,18.86201754385965
,0.0,,2021,,406.74,,0.0,21.003,21.40736842105263,False,44.0,810,1.5336332175589071,,QB,19,0.967,0.0,0.966842105263158,15.884705882352943,7.317829823502566,00-0019596,TB,,0.12,QB,16.316666666666666
,0.002278963414634146,,2018,,338.78000000000003,,-0.0004645760743321719,,19.92823529411765,False,39.0,567,6.154635633935721,,QB,17,,0.001736111111111111,0.9823529411764705,,9.929468481401267,00-0020531,NO,,0.52,QB,18.01607142857143
,0.0,,2019,,233.58,,0.0,19.92823529411765,19.465,False,40.0,411,5.440814806975427,,QB,12,0.9823529411764705,0.0,0.8783333333333333,,6.548069511056885,00-0020531,NO,,0.44,QB,16.56714285714286
,0.0,,2018,,20.76,,0.0,,5.19,False,39.0,110,-26.139813918353273,,QB,4,,0.0,0.765,,-8.096720815137296,00-0021206,NYJ,,0.52,QB,3.34
,0.2875450487265707,,2019,,139.9,,0.10199887913319634,,8.74375,False,37.0,0,,,TE,16,,0.1440972222222222,0.753125,,,00-0022127,DAL,,0.3,TE,3.19
,0.0015420412110108087,,2018,,1.1,,-0.0013448607108549472,,0.55,False,37.0,7,0.20876526832580566,,QB,2,,0.0016556291390728477,0.05666666666666667,,-2.4365082403528504,00-0022787,ATL,,0.68,QB,3.0900000000000003
,0.0,,2019,,32.900000000000006,,0.0,0.55,6.580000000000001,False,38.0,67,9.57040579163118,,QB,5,0.05666666666666667,0.0,0.22333333333333336,,8.312002190178639,00-0022787,ATL,,0.6,QB,-0.4
,0.0,,2018,,239.96,,0.0,,14.9975,False,37.0,576,1.8735371342885738,,QB,16,,0.0,0.9825,,1.8186465131406613,00-0022803,NYG,,0.68,QB,13.595
,0.5453137869465957,,2018,,185.68,,0.2683813977656534,,11.605,False,35.0,1,65.74440598487854,,WR,16,,0.23829787234042554,0.918125,,3.088042840885464,00-0022921,ARI,,0.16,WR,9.424519230769231
,0.45918698854317685,,2019,,177.4,,0.21444752076516485,11.605,11.0875,False,36.0,0,,,WR,16,0.918125,0.2060491493383743,0.845,,,00-0022921,ARI,,0.04,WR,7.761538461538462
,0.002242152466367713,,2018,,341.86,,0.0,,21.36625,False,36.0,675,2.7374072007290327,,QB,16,,0.0014947683109118087,0.96875,,9.131949313524709,00-0022924,PIT,,0.76,QB,12.474375
,0.0,,2019,,12.74,,0.0,21.36625,6.37,False,37.0,62,-12.541512398855062,,QB,2,0.96875,0.0,0.75,,-6.582629110253029,00-0022924,PIT,,0.68,QB,16.189375
,0.0,,2020,,297.26,,0.0,6.37,18.57875,False,38.0,676,-0.703529126204816,,QB,16,0.75,0.0,0.979375,21.36625,3.9006271557598704,00-0022924,PIT,,0.6,QB,13.799999999999999
,0.0,,2018,,320.16,,0.0,,17.78666666666667,False,37.0,591,3.3858671119920443,,QB,18,,0.0,0.9722222222222222,,8.249549534347839,00-0022942,LAC,,0.68,QB,15.071727941176471
,0.0,,2019,,235.5,,0.0,17.78666666666667,14.71875,False,38.0,591,4.678529517238965,,QB,16,0.9722222222222222,0.0,0.973125,,4.295881141919958,00-0022942,LAC,,0.6,QB,15.424705882352942
,0.19963160569105692,,2018,,89.2,,0.11033681765389082,,6.371428571428572,False,38.0,0,,,TE,14,,0.08159722222222222,0.4711764705882353,,,00-0022943,NO,,0.2,TE,4.11
,0.0,,2018,,138.0,,0.0,,13.8,False,34.0,328,-2.0965298957811247,,QB,10,,0.0,0.968,,-0.7564012404721574,00-0023436,WAS,,0.92,QB,8.9475
,0.0,,2018,,312.58,,0.0,,19.53625,False,35.0,597,-0.20690420050219255,,QB,16,,0.0,0.931875,,3.373568652369644,00-0023459,GB,,0.84,QB,20.699444444444445
,0.0,,2019,,312.54,,0.0,19.53625,17.363333333333333,False,36.0,635,2.071479338713539,,QB,18,0.931875,0.0,0.9833333333333333,,4.588372387869236,00-0023459,GB,,0.76,QB,22.085424836601305
,0.0019803810233570513,,2020,,432.64,,-0.000859106529209622,17.363333333333333,24.035555555555554,False,37.0,610,7.00437081909784,,QB,18,0.9833333333333333,0.0017211703958691911,0.9805555555555555,19.53625,11.641670561921238,00-0023459,GB,,0.68,QB,17.102941176470587
,0.0019133759961803454,,2021,,342.3,,-0.0008559811684142949,24.035555555555554,20.13529411764706,False,38.0,560,5.95493534985539,,QB,17,0.9805555555555555,0.0016750418760469012,0.9376470588235294,17.363333333333333,7.513577822644404,00-0023459,GB,,0.6,QB,7.035294117647059
,0.0,,2022,,239.2,,0.0,20.13529411764706,14.070588235294117,False,39.0,542,1.0704132273034586,,QB,17,0.9376470588235294,0.0,0.9741176470588234,24.035555555555554,-0.3029967962343104,00-0023459,GB,,0.52,QB,7.546470588235294
,0.0,,2023,,0.0,,0.0,14.070588235294117,0.0,False,40.0,1,,,QB,1,0.9741176470588234,0.0,0.07,20.13529411764706,-2.0319598843343556,00-0023459,NYJ,,0.44,QB,14.279411764705882
