snap_share_t_minus_1,cpoe,player_id,route_participation,aging_curve_position,ppg_t,depth_chart_position,tprr,total_points_t,ppg_t_minus_2,dakota,air_yards_share,aging_curve_value,target_share_nfl,yprr,epa_per_dropback,dropback_count,team,feature_season,weighted_opportunity,age,is_dual_threat,ppg_t_minus_1,pass_attempts,snap_share,games_t,position,avg_ppg_t1_t2,training_eligible,outcome_returned,ppg_t_minus_1_available,ppg_t_minus_2_available,snap_share_t_minus_1_available,te_role_is_risk_profile,ngs_completion_percentage_above_expectation,ngs_avg_time_to_throw,ngs_avg_separation,ngs_avg_cushion,ngs_rush_yards_over_expected_per_att,ngs_percent_attempts_gte_eight_defenders
,0.5395713549773133,00-0019596,,QB_pocket,16.89578947368421,QB,,321.02,,0.10535911326233886,0.0,0.36,0.0015082956259426848,,0.1482005702820099,716.0,NE,2018,0.0022624434389140274,41.0,False,,716.0,0.9800000000000001,19,QB,18.443852941176473,True,True,False,False,False,,-1.5629724798756683,2.615713028169014,,,,
0.9800000000000001,-2.5320673110039253,00-0019596,0.9927536231884058,QB_pocket,15.884705882352943,QB,0.0,270.04,,0.003622669258149802,0.0,0.28,0.0,0.0,0.01602695884451654,679.0,NE,2019,0.0,42.0,False,16.89578947368421,679.0,0.9882352941176471,17,QB,21.205184210526316,True,True,True,False,True,,-2.997041299079818,2.745391517128874,,,,
0.9882352941176471,2.378416131282675,00-0019596,0.97625,QB_pocket,21.003,QB,0.0,420.06,16.89578947368421,0.1534911723027186,0.0,0.2,0.0,0.0,0.20907989129838656,773.0,TB,2020,0.0,43.0,False,15.884705882352943,773.0,0.967,20,QB,18.86201754385965,True,True,True,True,True,,1.626994895947277,2.5707062706270625,,,,
0.967,1.2222789876247564,00-0019596,0.9860950173812283,QB_pocket,21.40736842105263,QB,0.0,406.74,15.884705882352943,0.11316032549812585,0.0,0.12,0.0,0.0,0.1564192693360737,838.0,TB,2021,0.0,44.0,False,21.003,838.0,0.966842105263158,19,QB,16.316666666666666,True,True,True,True,True,,-1.1318449386925238,2.49865829846583,,,,
0.966842105263158,-0.5665243816717217,00-0019596,0.9800703399765534,QB_pocket,16.316666666666666,QB,0.0011961722488038277,293.7,21.003,0.030954636633220036,0.0029657089898053753,0.04,0.0012738853503184713,0.0,0.04664887111176458,828.0,TB,2022,0.003986824318341469,45.0,False,21.40736842105263,828.0,0.9755555555555555,18,QB,,False,False,True,True,True,,-1.2073188542425157,2.448895890410959,,,,
,5.999808486959022,00-0020531,,QB_pocket,19.92823529411765,QB,,338.78000000000003,,0.1959404542245008,-0.0004645760743321719,0.52,0.001736111111111111,,0.2542014696623196,589.0,NO,2018,0.002278963414634146,39.0,False,,589.0,0.9823529411764705,17,QB,18.01607142857143,True,True,False,False,False,,7.159069046408604,2.5861881390593044,,,,
0.9823529411764705,6.196603982214363,00-0020531,0.6525037936267072,QB_pocket,19.465,QB,0.0,233.58,,0.1491534123547659,0.0,0.44,0.0,0.0,0.18651942915446118,422.0,NO,2019,0.0,40.0,False,19.92823529411765,422.0,0.8783333333333333,12,QB,16.56714285714286,True,True,True,False,True,,6.680589916292959,2.5701313672922255,,,,
0.8783333333333333,0.4273538002723575,00-0020531,0.7434312210200927,QB_pocket,16.56714285714286,QB,0.0,231.94,19.92823529411765,0.07700698700004747,0.0,0.36,0.0,0.0,0.10817846514175772,475.0,NO,2020,0.0,41.0,False,19.465,475.0,0.8985714285714286,14,QB,,False,False,True,True,True,,1.4712671209604338,2.6612706185567014,,,,
,-9.538522944563912,00-0021206,,QB_pocket,5.19,QB,,20.76,,-0.22439250444286885,0.0,0.52,0.0,,-0.27968133658453875,116.0,NYJ,2018,0.0,39.0,False,,116.0,0.765,4,QB,,False,False,False,False,False,,,,,,,
,,00-0021547,,TE,5.438888888888889,TE,,97.9,,,0.09418282548476455,0.2,0.09827586206896552,,,,LAC,2018,0.21334177094278345,38.0,False,,,,18,TE,,False,False,False,False,False,0.0,,,2.464236806451032,4.449473684210527,,
,,00-0022127,0.7679127725856698,TE,8.74375,TE,0.16835699797160245,139.9,,,0.10199887913319634,0.3,0.1440972222222222,1.0730223123732252,,,DAL,2019,0.2875450487265707,37.0,False,,,0.753125,16,TE,3.19,True,True,False,False,False,0.0,,,3.2706608973153415,5.671481481481481,,
0.753125,,00-0022127,0.2779605263157895,TE,3.19,TE,0.10059171597633136,31.9,,,0.021064814814814814,0.2,0.03359683794466403,0.40828402366863903,,,LV,2020,0.06514062728736641,38.0,False,8.74375,,0.375,10,TE,,False,False,True,False,True,0.0,,,,,,
,7.46757467277348,00-0022787,0.09424083769633508,QB_pocket,6.580000000000001,QB,0.0,32.900000000000006,,0.22574659830252902,0.0,0.6,0.0,0.0,0.29049124897744083,70.0,ATL,2019,0.0,38.0,False,,70.0,0.22333333333333336,5,QB,,False,False,False,False,False,,,,,,,
,0.4644746187502745,00-0022803,,QB_pocket,14.9975,QB,,239.96,,0.026972453495044124,0.0,0.68,0.0,,0.03654147091256186,627.0,NYG,2018,0.0,37.0,False,,627.0,0.9825,16,QB,13.595,True,True,False,False,False,,-1.4492557026743356,2.646937391304348,,,,
0.9825,-2.6076883711713426,00-0022803,0.22434017595307917,QB_pocket,13.595,QB,0.0,54.38,,-0.03996922880323587,0.0,0.6,0.0,0.0,-0.04592309098531692,152.0,NYG,2019,0.0,38.0,False,14.9975,152.0,0.9750000000000001,4,QB,,False,False,True,False,True,,-2.809955433112428,2.6575510204081634,,,,
,,00-0022921,,WR,11.605,WR,,185.68,,,0.2683813977656534,0.16,0.23829787234042554,,,,ARI,2018,0.5453137869465957,35.0,False,,,0.918125,16,WR,9.424519230769231,True,True,False,False,False,,,,2.2610111086412688,6.338921568627452,,
0.918125,,00-0022921,0.9105180533751962,WR,11.0875,WR,0.1879310344827586,177.4,,,0.21444752076516485,0.04,0.2060491493383743,1.3862068965517242,,,ARI,2019,0.45918698854317685,36.0,False,11.605,,0.845,16,WR,7.761538461538462,True,True,True,False,True,,,,2.9758333333333735,6.151442307692308,,
0.845,,00-0022921,0.6814024390243902,WR,7.761538461538462,WR,0.1610738255033557,100.9,11.605,,0.09965397923875433,0.0,0.13259668508287292,0.9149888143176734,,,ARI,2020,0.2686528130914374,37.0,False,11.0875,,0.7915384615384616,13,WR,,False,False,True,True,True,,,,3.3120211133093282,6.143000000000001,,
,1.682452763097858,00-0022924,,QB_pocket,21.36625,QB,,341.86,,0.12809622365038,0.0,0.76,0.0014947683109118087,,0.17578409337298062,701.0,PIT,2018,0.002242152466367713,36.0,False,,701.0,0.96875,16,QB,18.57875,True,True,False,False,False,,0.5292071600755008,2.552903273809524,,,,
,-0.5274251412920853,00-0022924,0.932,QB_pocket,18.57875,QB,0.0,297.26,21.36625,0.051002678795614896,0.0,0.6,0.0,0.0,0.07512136317070164,696.0,PIT,2020,0.0,38.0,False,,696.0,0.979375,16,QB,13.799999999999999,True,True,False,True,False,,-1.3016151319453968,2.3001052631578944,,,,
0.979375,-2.2559709497727454,00-0022924,0.9183135704874835,QB_pocket,13.799999999999999,QB,0.0,234.6,,-0.06552882559674723,0.0,0.52,0.0,0.0,-0.08394416106775572,692.0,PIT,2021,0.0,39.0,False,18.57875,692.0,0.9917647058823529,17,QB,,False,False,True,False,True,,-2.8876483871424483,2.380759535655058,,,,
