player_id,position,listed_position,feature_season,forecast_cutoff,arm,identity_status,games_t,seasons_since_last_observed,p_appear_year1,e_points_year1_given_appear,e_games_year1_given_appear,e_points_year1,e_games_year1,forecast_season_year1,p_appear_year2,e_points_year2_given_appear,e_games_year2_given_appear,e_points_year2,e_games_year2,forecast_season_year2,p_appear_year3,e_points_year3_given_appear,e_games_year3_given_appear,e_points_year3,e_games_year3,forecast_season_year3,p_appear_year4,e_points_year4_given_appear,e_games_year4_given_appear,e_points_year4,e_games_year4,forecast_season_year4,p_appear_year5,e_points_year5_given_appear,e_games_year5_given_appear,e_points_year5,e_games_year5,forecast_season_year5
00-0022942,QB,QB,2025,post-2025-season,basic_cohort_3col_plus_lags,resolved,3,0,0.4192472713049682,48.03632737389027,4.81109909709362,20.139099175015645,2.0170401684342965,2026.0,0.19220544018025365,44.84674659018017,4.575496332761768,8.619788669017868,0.8794352866816119,2027.0,0.08429972811955914,31.602658231580687,3.901599565639435,2.6640954967775996,0.3289037826147944,2028.0,0.04009682768820821,21.722911475494367,3.3418547201838122,0.8710198383190983,0.13399777287423556,2029.0,0.02071402733526533,17.857566101914433,4.691154641353884,0.36990211237636306,0.09717270547496117,2030.0
00-0023459,QB,QB,2025,post-2025-season,basic_cohort_3col_plus_lags,resolved,17,0,0.9334369925257789,202.49464447137908,11.990058267871394,189.01599193794092,11.191963929770724,2026.0,0.8062319102355417,190.1333411020193,11.065813028776805,153.29156679614687,8.92161157650007,2027.0,0.6041389018156587,172.93019620615036,10.481397693384949,104.47385882675006,6.332220091974761,2028.0,0.45621278995258885,164.63910238380194,9.89394810143422,75.11046423380421,4.513745667001425,2029.0,0.3149165775885607,164.75991777770366,9.764402007210727,51.88562943032709,3.0749720623096746,2030.0
00-0024243,TE,TE,2025,post-2025-season,basic_cohort_3col_plus_lags,resolved,1,0,0.0215479146799717,0.0,3.34440528347323,0.0,0.07206495970352772,2026.0,0.004228355133720037,0.0,2.611538443464081,0.0,0.011042511984328582,2027.0,0.0011553628555414652,0.0,1.7895630426844615,0.0,0.0020675946671673924,2028.0,0.0005042118517238069,0.0,1.8451399993739557,0.0,0.0009303414557740061,2029.0,0.0002339978372295643,0.0,4.976688683458097,0.0,0.0011645343884940423,2030.0
00-0026158,QB,QB,2025,post-2025-season,basic_cohort_3col_plus_lags,resolved,13,0,0.8421827742476166,144.02416285683316,9.525342380702082,121.29466903345828,8.022079271838075,2026.0,0.6705157089637466,133.65652056690365,8.601232158737394,89.61879664554498,5.76726127887758,2027.0,0.40394827580016796,117.33608621169397,8.089317571699501,47.39770971435364,3.267665885488015,2028.0,0.28681291296559835,110.57881477404774,7.617075595528222,31.715431977627976,2.1846756398326193,2029.0,0.17397730814806706,105.30902621914424,7.951239188338573,18.32138090530093,1.3833351904285665,2030.0
00-0026300,QB,QB,2025,post-2025-season,basic_cohort_3col_plus_lags,resolved,3,0,0.5120444872345861,9.713906096165548,3.332883095700142,4.9739520660560075,1.706584415750599,2026.0,0.23948820122048822,19.809810211509543,4.051435968952045,4.74421581407368,0.9702711125643111,2027.0,0.13547426102740057,12.28290740809795,3.4625099232498813,1.6640178043800538,0.4690809731523191,2028.0,0.08039258554854595,6.962107696206683,3.045506092191613,0.5597018385654859,0.24483610905513212,2029.0,0.038760298561129836,5.134305180940929,3.8326968410678006,0.19900720171722616,0.14855647385408713,2030.0
00-0026498,QB,QB,2025,post-2025-season,basic_cohort_3col_plus_lags,resolved,20,0,0.9806984308512513,287.84367119847826,14.694451903523678,282.28783667481116,14.410825924004854,2026.0,0.923303958428318,275.8395910108102,13.946012949436923,254.68378627152933,12.876408960507694,2027.0,0.874888537108315,250.43120426353823,12.832750345978175,219.0993899444006,11.227226177269069,2028.0,0.7971865832853281,243.06407155085597,12.34093770503208,193.7674167190474,9.838029963611602,2029.0,0.6864871556985352,241.09107660178663,11.386452960590734,165.50592744065818,7.816653706411099,2030.0
00-0027973,QB,QB,2025,post-2025-season,basic_cohort_3col_plus_lags,resolved,4,0,0.5074790116471006,25.710326428923874,4.221348946064547,13.047451045274618,2.142245990966366,2026.0,0.36667104187971644,23.545511621808185,3.956131838250129,8.63345727795938,1.4505989829446926,2027.0,0.16615350562422387,24.19587084120973,4.167846057486649,4.020228761897935,0.6925022333535072,2028.0,0.11226001412497386,18.808941228374596,3.860257121948509,2.111492007973135,0.43335251903597055,2029.0,0.07112392140697005,15.834173304037622,5.184793082376382,1.126188497620715,0.36876281570233976,2030.0
00-0028118,QB,QB,2025,post-2025-season,basic_cohort_3col_plus_lags,resolved,6,0,0.7096478094613035,75.65774616436096,6.300964218140507,53.69035383431809,4.471465454897466,2026.0,0.5253071544850707,73.16730574008164,6.0048753968225235,38.435309179661466,3.1544040077422495,2027.0,0.3280172011839975,60.149524090507754,5.493149622680947,19.730078544717788,1.801847564916736,2028.0,0.23335614182427952,54.16162873831846,5.218083230171587,12.638948717293017,1.2176717703108153,2029.0,0.14621649047398794,45.8737351422657,6.033496781346281,6.707496557435339,0.8821967246545555,2030.0
00-0029263,QB,QB,2025,post-2025-season,basic_cohort_3col_plus_lags,resolved,6,0,0.70662410616685,87.8708977512144,7.219542481861019,62.09169458153055,5.101502753178645,2026.0,0.5715612312531629,80.14741842291659,6.851655919279536,45.80915715556464,3.9161408933464337,2027.0,0.3454356384125485,80.43556368508072,6.833263885068921,27.78531029262906,2.360452872580194,2028.0,0.2292939872531905,71.77367332183299,6.361860147182423,16.457271735771034,1.458736279494627,2029.0,0.16358050021846904,66.76895582438318,6.979972591382809,10.922099192817463,1.1417874080096033,2030.0
00-0029604,QB,QB,2025,post-2025-season,basic_cohort_3col_plus_lags,resolved,10,0,0.8403374534018847,119.94122559220882,8.738903275448827,100.79110407205772,7.343627724016057,2026.0,0.6813101567283137,114.2241781638796,8.410083129112287,77.82209272699565,5.72987505479364,2027.0,0.49297586878123034,108.79602858167826,8.148649964326513,53.6338167100004,4.017087795558004,2028.0,0.3600484618387808,102.07238188115949,7.708934898789306,36.75100409253211,2.775590152724387,2029.0,0.25633799517103945,99.70734633206908,7.93197001061123,25.558781262587082,2.033265290276891,2030.0
