player_id,position,feature_season,forecast_cutoff,arm,identity_status,forecast_season_year1,p_appear_year1,e_points_year1_given_appear,e_games_year1_given_appear,e_points_year1,e_games_year1,forecast_season_year2,p_appear_year2,e_points_year2_given_appear,e_games_year2_given_appear,e_points_year2,e_games_year2
00-0023459,QB,2025,post-2025-season,served_features,resolved,2026,0.5593660946078252,162.06643185997257,10.484310695683185,90.65446705653807,5.864567928499353,2027,0.12978996121004013,177.1882620406213,11.525817185959886,22.997257657126667,1.4959353654797476
00-0026158,QB,2025,post-2025-season,served_features,resolved,2026,0.6302872471363079,125.99365222480688,8.820581967313297,79.41219221742288,5.559500326318057,2027,0.31883840707886263,137.45202034816216,9.692636760774366,43.82498321757944,3.0903848651993258
00-0026498,QB,2025,post-2025-season,served_features,resolved,2026,0.9859765521048709,243.35296401523073,13.869602904151712,239.9403164042379,13.675103250499209,2027,0.8698026104443389,245.4084543538161,14.450952452194441,213.45691422205962,12.569476166325746
00-0027973,QB,2025,post-2025-season,served_features,resolved,2026,0.30943496378392243,0.0,3.276596379816836,0.0,1.013893482123154,2027,0.09824365475068778,0.0,3.7742195336014035,0.0,0.37079312081243815
00-0028118,QB,2025,post-2025-season,served_features,resolved,2026,0.8054591801151655,53.238302770843376,5.775062117502683,42.88127970052645,4.651576798277863,2027,0.604362534132135,41.96415565477659,5.287640344191264,25.361563454236144,3.1956517179947466
00-0029263,QB,2025,post-2025-season,served_features,resolved,2026,0.6614415983583759,65.90092838381045,5.969400854520299,43.589615403488445,3.9484100424557615,2027,0.4038545276924412,58.58126780903595,5.964609544028279,23.65831024264262,2.4088345702733673
00-0029604,QB,2025,post-2025-season,served_features,resolved,2026,0.7624606935229244,93.931841924569,7.523313763780236,71.61933733769258,5.736231029922442,2027,0.43853677138954406,102.56207789767325,8.107204486486875,44.977242508248544,3.5553072804987806
00-0030565,QB,2025,post-2025-season,served_features,resolved,2026,0.9350051031986022,157.8402286367735,10.406218669133281,147.58141926541737,9.729867560640184,2027,0.8021575874434096,155.11575761630303,10.528057089635745,124.42728190395033,8.445160875488693
00-0032268,QB,2025,post-2025-season,served_features,resolved,2026,0.914030781352797,113.4697908311486,8.330499072621489,103.7148815733332,7.61433257640697,2027,0.9023047584504453,100.49774745477808,8.428599082189836,90.67959574199739,7.605165058930945
00-0032950,QB,2025,post-2025-season,served_features,resolved,2026,0.848222084681189,83.30603751969315,6.615663870833272,70.66202081148347,5.611552200068222,2027,0.743979633728263,74.85474791827158,6.380310581770909,55.69040793905715,4.746821129698482
00-0033077,QB,2025,post-2025-season,served_features,resolved,2026,0.9910839203201688,232.42859616052715,13.171298597415763,230.35624427728857,13.053862249634355,2027,0.970598322154755,224.35429825914937,13.414553467657795,217.75790545853786,13.020143088163907
00-0033106,QB,2025,post-2025-season,served_features,resolved,2026,0.988657685262178,233.564210461728,13.252734216259878,230.9150516751802,13.102417533642356,2027,0.9646524599454496,220.58210201728954,12.914720140972157,212.78506733091646,12.458216553495834
00-0033119,QB,2025,post-2025-season,served_features,resolved,2026,0.9768248766003776,152.7096520395532,10.221689650250276,149.17058700922314,9.984800731253083,2027,0.8928996558457571,149.3682971720209,10.760215795466681,133.37090113916423,9.60779298059828
00-0033319,QB,2025,post-2025-season,served_features,resolved,2026,0.9157746067436531,0.0,3.4619461964227836,0.0,3.17036241659676,2027,0.77882995769212,0.0,3.4831114592216843,0.0,2.712751550422563
00-0033662,QB,2025,post-2025-season,served_features,resolved,2026,0.6500096963638101,0.0,2.965654335527659,0.0,1.9277040741563505,2027,0.5795658750785821,0.0,1.8066491274514005,0.0,1.0470721825113278
00-0033869,QB,2025,post-2025-season,served_features,resolved,2026,0.9328852789797201,8.496366110617913,4.3452398519407165,7.9261348694176315,4.053610291511513,2027,0.8538518742991287,0.0,4.056033126468392,0.0,3.4632514872543916
00-0033873,QB,2025,post-2025-season,served_features,resolved,2026,0.974419619635747,227.75781636847887,12.472836279105941,221.9316847948415,12.153776382865356,2027,0.9317556149054989,213.3650026037537,12.02331408378578,198.8040392003739,11.202790407339764
00-0033949,QB,2025,post-2025-season,served_features,resolved,2026,0.6968490307385348,22.13137765499153,4.1865437260331975,15.422229067789315,2.9173889376307276,2027,0.6350347765386007,5.664605993645523,3.760592721028619,3.597221801353903,2.3881071582510978
00-0034771,QB,2025,post-2025-season,served_features,resolved,2026,0.8963105696613819,33.77317791624591,5.271480984137941,30.271256337385577,4.724884123851821,2027,0.7401441761591593,10.745195510709692,4.555472008208024,7.952993878943322,3.3717060765312383
00-0034796,QB,2025,post-2025-season,served_features,resolved,2026,0.9852244866136662,233.69002216433012,12.378918932450766,230.23713211358842,12.196014050056,2027,0.9746833125018206,213.37316988803335,11.580231710712754,207.97126802548206,11.287058603336131
00-0034855,QB,2025,post-2025-season,served_features,resolved,2026,0.9767104834382838,237.43889658958005,13.072476136045772,231.9090594750614,12.768024486572694,2027,0.9494628482842231,226.28839297681898,12.622834620554496,214.85242212943015,11.984912512252372
00-0034857,QB,2025,post-2025-season,served_features,resolved,2026,0.9944303365682038,315.51098802404624,15.730025402678745,313.7536980117188,15.64241445541222,2027,0.9897662858202246,295.44854810571417,15.368955969361838,292.4250121095707,15.211674466729837
00-0034869,QB,2025,post-2025-season,served_features,resolved,2026,0.9970095560360731,231.1747313555976,13.886494426856949,230.48341627560282,13.84496764341805,2027,0.9839470042209696,193.81120020350008,12.387399998320282,190.69994982470448,12.188545118434085
00-0035100,QB,2025,post-2025-season,served_features,resolved,2026,0.8133361156848932,69.57309548527319,6.354055890552603,56.58631123816627,5.167983136866769,2027,0.81155471707441,58.913800172948726,5.769517485703245,47.81177243113573,4.6822791307657585
00-0035228,QB,2025,post-2025-season,served_features,resolved,2026,0.8543521625407627,130.30376975292273,8.109630572870149,111.32530747562316,6.928480417338296,2027,0.8956511008514499,103.47872929229504,7.1645285285401386,92.68083780535324,6.416917863668594
00-0035289,QB,2025,post-2025-season,served_features,resolved,2026,0.6423197303623062,0.0,3.1645811856009,0.0,2.0326729338447973,2027,0.611367421723969,0.0,2.7103419104603925,0.0,1.6570147457885864
00-0035710,QB,2025,post-2025-season,served_features,resolved,2026,0.9843222340117671,183.0891213972326,11.370212929651473,180.21869299697562,11.191953392104017,2027,0.9553202940116174,151.66560813656628,10.281118387787101,144.88923335647524,9.82176104098902
00-0035993,QB,2025,post-2025-season,served_features,resolved,2026,0.9172002794332254,57.47040718034441,6.302095614113295,52.711873524953134,5.780283858279618,2027,0.7760967369100045,12.023067936755893,4.632181217642434,9.33106379336355,3.5950207277881043
00-0036212,QB,2025,post-2025-season,served_features,resolved,2026,0.9500658598206903,172.4841406433768,11.012129695630875,163.87129338578265,10.462248467736504,2027,0.9037619774289939,158.61408258911007,10.363640419421413,143.34937692881988,9.366264158819344
00-0036264,QB,2025,post-2025-season,served_features,resolved,2026,0.992521936504021,225.93139322451347,13.024583480187406,224.24186392024555,12.927184817913885,2027,0.9753965449491349,206.51134498168219,12.62032507100094,201.43045238793167,12.309821470389261
00-0036355,QB,2025,post-2025-season,served_features,resolved,2026,0.9904659706460734,245.33747066647663,13.522849035665544,242.99841601952434,13.393921796010792,2027,0.982901703408917,225.18377761373776,13.099878236036405,221.3335185965976,12.875892632649581
00-0036389,QB,2025,post-2025-season,served_features,resolved,2026,0.993453600595564,275.48840825437844,14.376529788751377,273.684951102653,14.282415282704438,2027,0.9905816373525206,251.22627649181211,13.741288415585197,248.8601363132363,13.611867978043609
00-0036442,QB,2025,post-2025-season,served_features,resolved,2026,0.9738159957072741,173.77151918123536,10.14740970044085,169.22148497704038,9.881709881284458,2027,0.9556134258471983,134.83456678552454,8.699302559074814,128.84972228853798,8.313170320958783
00-0036898,QB,2025,post-2025-season,served_features,resolved,2026,0.7451801377675059,30.265446517113475,5.646559672297018,22.553209605217702,4.207704114514735,2027,0.7722814646521768,12.060336689701415,4.6266831653274005,9.313974482920996,3.5731016514006146
00-0036945,QB,2025,post-2025-season,served_features,resolved,2026,0.9445393679598207,143.6714328757181,9.238534846492684,135.70332440231257,8.726159864780978,2027,0.9554181656973656,127.93169504929344,8.756870065317854,122.22826541855068,8.366472735056155
00-0036971,QB,2025,post-2025-season,served_features,resolved,2026,0.9925300292120941,243.82132122351987,13.995194750614587,241.99998307651157,13.890651054656441,2027,0.9620943735295958,238.16657305657478,13.537297518236436,229.13871990055603,13.024157775091435
00-0036972,QB,2025,post-2025-season,served_features,resolved,2026,0.9637528186761282,128.02730850243475,9.432666174074757,123.38667943673971,9.090758612895517,2027,0.9163600852207086,102.33385789464998,8.616520153382865,93.77466274130533,7.895835142059875
00-0037012,QB,2025,post-2025-season,served_features,resolved,2026,0.3335100270068096,0.0,3.8418693330948646,0.0,1.281301945037102,2027,0.4991590911346387,0.0,3.737468612052221,0.0,1.8655914355362262
00-0037013,QB,2025,post-2025-season,served_features,resolved,2026,0.6669817374041715,8.485353507731752,4.152128667846696,5.659575825075505,2.769393992806058,2027,0.6634037881203599,0.0,2.994459537956534,0.0,1.9865358008535074
00-0037834,QB,2025,post-2025-season,served_features,resolved,2026,0.9941325827073264,208.78248956498052,11.806945259094242,207.55747557529952,11.737668984307382,2027,0.9830237817746191,172.8415353756284,10.71737411651856,169.90733975268185,10.535433634713492
00-0038102,QB,2025,post-2025-season,served_features,resolved,2026,0.5723900154105749,0.0,4.085625332283961,0.0,2.338571146907851,2027,0.6796910031371758,0.0,3.6398547304347035,0.0,2.473976513002758
00-0038128,QB,2025,post-2025-season,served_features,resolved,2026,0.9468518240786722,88.71891997252601,7.031245274874947,84.003671206276,6.657547414059889,2027,0.8212345500090529,47.74300075380046,6.201705850663007,39.20820174012919,5.093055113557745
00-0038400,QB,2025,post-2025-season,served_features,resolved,2026,0.763573293722165,40.03298075772901,5.124641668641649,30.568114974695188,3.9130395180705557,2027,0.6438647737001791,25.67161762521522,4.327543385458301,16.52905027277673,2.7863527425558163
00-0039150,QB,2025,post-2025-season,served_features,resolved,2026,0.9833497649527252,201.48276837613085,12.614651365161127,198.12803292469263,12.404614454891767,2027,0.9504515408087979,181.42900949720186,11.531910912205204,172.43948162402953,10.960522494975226
00-0039163,QB,2025,post-2025-season,served_features,resolved,2026,0.977639219508043,202.33412868180596,12.343943517026752,197.8097796443207,12.0679233056374,2027,0.9428794502009303,193.23502599369183,11.885024831954953,182.19733506849465,11.206145679178091
