player_id,origin,position,origin_points,origin_label_source,total_points_t,ppg_t,games_t,age,observed_history_seasons,draft_visible,draft_season,draft_round,draft_pick,nfl_years_since_draft,exclusion_reason,prior_seasons_checked,prior_no_record_seasons
00-0032134,2015,TE,1.4,artifact_row,1.4,0.4666666666666666,3,22.0,1,True,2015.0,5.0,157.0,1.0,,1,0
00-0032135,2015,TE,21.6,artifact_row,24.8,4.133333333333334,6,21.0,1,True,2015.0,5.0,160.0,1.0,,1,0
00-0032141,2015,TE,1.0,artifact_row,1.0,0.5,2,22.0,1,True,2015.0,7.0,246.0,1.0,,1,0
00-0032188,2015,TE,0.0,artifact_row,0.0,0.0,1,24.0,1,True,2015.0,4.0,123.0,1.0,,1,0
00-0032214,2015,TE,29.9,artifact_row,29.9,2.3,13,23.0,1,True,2015.0,3.0,85.0,1.0,,1,0
00-0032256,2015,TE,70.3,artifact_row,78.9,5.260000000000001,15,24.0,1,True,2015.0,3.0,68.0,1.0,,1,0
00-0030047,2015,WR,80.4,artifact_row,80.4,7.309090909090909,11,23.0,3,True,2013.0,7.0,236.0,3.0,,3,0
00-0030068,2015,WR,4.4,artifact_row,4.4,2.2,2,25.0,3,True,2013.0,3.0,78.0,3.0,,3,0
00-0030091,2015,WR,0.0,no_record_zero,0.0,,0,25.0,1,True,2013.0,5.0,161.0,3.0,,3,2
00-0030095,2015,WR,11.6,artifact_row,11.6,1.6571428571428573,7,25.0,2,True,2013.0,6.0,171.0,3.0,,3,1
00-0030113,2015,WR,21.7,artifact_row,21.7,3.6166666666666663,6,26.0,2,True,2013.0,7.0,216.0,3.0,,3,1
00-0030116,2015,WR,0.0,no_record_zero,0.0,,0,25.0,1,True,2013.0,7.0,224.0,3.0,,3,2
00-0030120,2015,WR,4.680000000000001,artifact_row,4.680000000000001,0.7800000000000001,6,26.0,1,True,2013.0,7.0,237.0,3.0,,3,2
00-0030290,2015,WR,0.0,no_record_zero,0.0,,0,25.0,1,True,2013.0,6.0,197.0,3.0,,3,2
00-0030450,2015,WR,71.60000000000001,artifact_row,75.9,4.74375,16,25.0,3,True,2013.0,4.0,128.0,3.0,,3,0
00-0030466,2015,WR,0.0,no_record_zero,0.0,,0,24.0,1,True,2013.0,6.0,186.0,3.0,,3,2
00-0030516,2015,WR,27.8,artifact_row,37.8,7.56,5,25.0,3,True,2013.0,7.0,209.0,3.0,,3,0
00-0030521,2015,WR,54.4,artifact_row,54.4,6.044444444444444,9,24.0,3,True,2013.0,2.0,34.0,3.0,,3,0
00-0030532,2015,WR,36.2,artifact_row,36.2,4.525,8,25.0,3,True,2013.0,3.0,92.0,3.0,,3,0
00-0030990,2015,WR,76.2,artifact_row,76.2,5.08,15,24.0,2,True,2014.0,3.0,86.0,2.0,,2,0
00-0031001,2015,WR,9.9,artifact_row,43.4,2.893333333333333,15,24.0,2,True,2014.0,7.0,236.0,2.0,,2,0
00-0031021,2015,WR,20.1,artifact_row,35.0,3.5,10,25.0,1,True,2014.0,5.0,176.0,2.0,,2,1
00-0031023,2015,WR,52.0,artifact_row,53.5,4.863636363636363,11,23.0,1,True,2014.0,6.0,209.0,2.0,,2,1
00-0031025,2015,WR,16.2,artifact_row,16.2,4.05,4,24.0,2,True,2014.0,7.0,218.0,2.0,,2,0
00-0031053,2015,WR,0.0,no_record_zero,0.0,,0,23.0,1,True,2014.0,4.0,104.0,2.0,,2,1
00-0031060,2015,WR,46.4,artifact_row,46.4,4.64,10,22.0,2,True,2014.0,4.0,124.0,2.0,,2,0
00-0031068,2015,WR,51.0,artifact_row,61.8,4.12,15,25.0,2,True,2014.0,5.0,142.0,2.0,,2,0
00-0031187,2015,WR,0.0,no_record_zero,0.0,,0,23.0,1,True,2014.0,6.0,185.0,2.0,,2,1
00-0031189,2015,WR,28.9,artifact_row,28.9,2.89,10,23.0,1,True,2014.0,6.0,189.0,2.0,,2,1
