player_id,origin,position,origin_points,origin_label_source,total_points_t,ppg_t,games_t,age,observed_history_seasons,draft_visible,draft_season,draft_round,draft_pick,nfl_years_since_draft,exclusion_reason,prior_seasons_checked,prior_no_record_seasons
00-0034771,2024,QB,92.5,artifact_row,95.8,11.975,8,29.0,5,True,2018.0,3.0,76.0,7.0,draft_year_outside_1_3,0,0
00-0034796,2024,QB,407.4,artifact_row,471.54,24.817894736842103,19,27.0,7,True,2018.0,1.0,32.0,7.0,draft_year_outside_1_3,0,0
00-0034855,2024,QB,344.16,artifact_row,381.5,21.194444444444443,18,29.0,7,True,2018.0,1.0,1.0,7.0,draft_year_outside_1_3,0,0
00-0034857,2024,QB,379.04,artifact_row,444.98,23.42,19,28.0,7,True,2018.0,1.0,7.0,7.0,draft_year_outside_1_3,0,0
00-0034869,2024,QB,300.32,artifact_row,319.66,17.75888888888889,18,27.0,7,True,2018.0,1.0,3.0,7.0,draft_year_outside_1_3,0,0
00-0034955,2024,QB,0.0,no_record_zero,0.0,,0,28.0,4,False,,,,,no_verified_draft_class,0,0
00-0035100,2024,QB,-0.2,artifact_row,-0.2,-0.1,2,28.0,2,False,,,,,no_verified_draft_class,0,0
00-0035228,2024,QB,269.36,artifact_row,297.24,17.48470588235294,17,27.0,6,True,2019.0,1.0,1.0,6.0,draft_year_outside_1_3,0,0
00-0035264,2024,QB,-0.2,artifact_row,0.5,0.25,2,28.0,5,True,2019.0,4.0,133.0,6.0,draft_year_outside_1_3,0,0
00-0035282,2024,QB,0.0,no_record_zero,0.0,,0,29.0,2,True,2019.0,5.0,166.0,6.0,draft_year_outside_1_3,0,0
00-0035289,2024,QB,96.32,artifact_row,96.32,9.632,10,28.0,6,True,2019.0,6.0,178.0,6.0,draft_year_outside_1_3,0,0
00-0035704,2024,QB,72.32,artifact_row,80.14,11.448571428571428,7,28.0,5,True,2019.0,2.0,42.0,6.0,draft_year_outside_1_3,0,0
00-0035710,2024,QB,135.3,artifact_row,135.3,13.53,10,27.0,6,True,2019.0,1.0,6.0,6.0,draft_year_outside_1_3,0,0
00-0035993,2024,QB,51.98,artifact_row,60.66,12.132,5,26.0,5,False,,,,,no_verified_draft_class,0,0
