player_id,origin,position,origin_points,origin_label_source,total_points_t,ppg_t,games_t,age,observed_history_seasons,draft_visible,draft_season,draft_round,draft_pick,nfl_years_since_draft,exclusion_reason,prior_seasons_checked,prior_no_record_seasons,policy_1,persistence_1,policy_2,persistence_2,policy_3,persistence_3,policy_4,persistence_4,policy_5,persistence_5,future_sum,future_year1,persistence_sum,label_sources,realized_sum,contributor_any,appeared,any_no_record,horizon,realized_points,rank_future_sum,rank_future_year1,rank_origin_points,rank_draft,rank_persistence
00-0034412,2020,QB,0.0,no_record_zero,0.0,,0,26.0,1,True,2018.0,6.0,199.0,3.0,,3,2,3.959716920461176,0.0,2.5683148767354367,0.0,5.235012408030846,0.0,8.22585213206021,0.0,4.110711704537776,0.0,20.139891121364272,3.959716920461176,0.0,no_record_zero+no_record_zero+no_record_zero+no_record_zero,0.0,False,False,True,2345,0.0,9.0,8.0,8.0,7.0,8.5
00-0034438,2020,QB,1.28,artifact_row,1.28,0.256,5,25.0,1,True,2018.0,7.0,249.0,3.0,,3,2,14.203234901356932,0.7501019199746366,7.397948033981756,0.6279463873417475,14.221566857015656,0.5409980274672994,13.669286219362284,0.4631038357414938,15.905542184248317,0.4000281659575155,51.19434329460802,14.203234901356932,2.032076416508056,no_record_zero+artifact_row+no_record_zero+no_record_zero,0.0,False,False,True,2345,0.0,4.0,4.0,6.0,10.0,7.0
00-0035146,2020,QB,9.3,artifact_row,9.3,4.6499999999999995,2,25.0,2,True,2019.0,6.0,197.0,2.0,,2,0,3.5341937086234543,5.449959262315718,7.357648390940325,4.562422970529884,6.8845588635954735,3.930688793317096,8.099394528929604,3.36473880655929,3.1498996613464145,2.9064546432850733,25.491501444811817,3.5341937086234543,14.764305213691342,artifact_row+no_record_zero+no_record_zero+no_record_zero,8.120000000000001,False,True,True,2345,8.120000000000001,7.0,9.0,4.0,6.0,4.0
00-0035251,2020,QB,0.0,no_record_zero,0.0,,0,25.0,1,True,2019.0,3.0,100.0,2.0,,2,1,1.8316722832677457,0.0,1.8483303948007517,0.0,3.8909928715419313,0.0,7.703779838126697,0.0,4.512151949623453,0.0,17.95525505409283,1.8316722832677457,0.0,no_record_zero+no_record_zero+no_record_zero+no_record_zero,0.0,False,False,True,2345,0.0,10.0,10.0,8.0,1.0,8.5
00-0035264,2020,QB,12.94,artifact_row,12.94,2.588,5,24.0,2,True,2019.0,4.0,133.0,2.0,,2,0,7.990383777789015,7.583061597243592,11.53092159241773,6.348145509532978,12.388820350142634,5.469151933927229,15.20262797048796,4.681690339449163,11.365886348704782,4.044034740226758,50.48825626175311,7.990383777789015,20.54302252313613,artifact_row+artifact_row+artifact_row+artifact_row,42.13999999999999,False,True,False,2345,42.13999999999999,5.0,6.0,3.0,3.0,3.0
00-0035282,2020,QB,-0.04,artifact_row,-0.04,-0.04,1,25.0,1,True,2019.0,5.0,166.0,2.0,,2,1,3.980680532292201,-0.0234406849992074,1.3278521137176722,-0.0196233246044296,7.750990047806337,-0.0169061883583531,6.560748598712893,-0.0144719948669216,7.887568317043896,-0.0125008801861723,23.5271590772808,3.980680532292201,-0.0635023880158766,no_record_zero+artifact_row+no_record_zero+no_record_zero,51.540000000000006,False,True,True,2345,51.540000000000006,8.0,7.0,10.0,4.0,10.0
00-0035652,2020,QB,19.16,artifact_row,19.16,4.79,4,26.0,2,True,2019.0,4.0,104.0,2.0,,2,0,22.503792724162818,11.228088114620345,16.461879713778092,9.399572485521782,16.38400106641209,8.098064223651138,15.711378387552534,6.932085541255485,11.6580503976158,5.987921609176561,60.215309565358524,22.503792724162818,30.417643859604965,no_record_zero+no_record_zero+no_record_zero+no_record_zero,0.0,False,False,True,2345,0.0,2.0,2.0,2.0,2.0,2.0
00-0036312,2020,QB,28.26,artifact_row,28.26,9.42,3,24.0,1,True,2020.0,6.0,189.0,1.0,,1,0,42.66069552432606,16.560843951940026,29.726177362389215,13.86387883302952,37.32617526588764,11.94422207517647,28.00839373380204,10.224464373480169,25.26748910313131,8.831871851530773,120.3282354652102,42.66069552432606,44.86443713321693,no_record_zero+no_record_zero+no_record_zero+no_record_zero,0.0,False,False,True,2345,0.0,1.0,1.0,1.0,5.0,1.0
00-0036384,2020,QB,6.960000000000001,artifact_row,6.960000000000001,3.4800000000000004,2,24.0,1,True,2020.0,7.0,231.0,1.0,,1,0,16.823881970129072,4.078679189862087,10.55951184642814,3.4144584811707523,18.00134555107396,2.94167677435344,14.68825055988251,2.5181271068443727,15.348132187661946,2.1751531523939907,58.597240145046555,16.823881970129072,11.049415514762556,no_record_zero+no_record_zero+no_record_zero+no_record_zero,0.0,False,False,True,2345,0.0,3.0,3.0,5.0,8.0,5.0
00-0036433,2020,QB,0.0,artifact_row,2.4000000000000004,2.4000000000000004,1,24.0,1,True,2020.0,7.0,240.0,1.0,,1,0,10.784095760666665,1.406441099952444,6.1860234572074715,1.177399476265777,13.713162606450089,1.0143713015011864,11.072993278935462,0.8683196920153008,12.034165710248269,0.7500528111703417,43.00634505284129,10.784095760666665,3.8101432809526057,no_record_zero+no_record_zero+no_record_zero+no_record_zero,0.0,False,False,True,2345,0.0,6.0,5.0,8.0,9.0,6.0
