player_id,origin,position,origin_points,origin_label_source,total_points_t,ppg_t,games_t,age,observed_history_seasons,draft_visible,draft_season,draft_round,draft_pick,nfl_years_since_draft,exclusion_reason,prior_seasons_checked,prior_no_record_seasons,policy_1,persistence_1,policy_2,persistence_2,policy_3,persistence_3,future_sum,future_year1,persistence_sum,label_sources,realized_sum,contributor_any,appeared,any_no_record,horizon,realized_points,rank_future_sum,rank_future_year1,rank_origin_points,rank_draft,rank_persistence
00-0029626,2014,RB,0.0,no_record_zero,0.0,,0,25.0,2,True,2012.0,2.0,50.0,3.0,,3,1,6.415885982370719,0.0,3.6374414417852257,0.0,6.7664352653023485,0.0,10.403876707087575,6.415885982370719,0.0,artifact_row+no_record_zero,3.8,False,True,True,23,3.8,32.0,31.0,32.5,2.0,32.5
00-0030078,2014,RB,0.0,no_record_zero,0.0,,0,25.0,1,True,2013.0,4.0,125.0,2.0,,2,1,7.328580041410345,0.0,4.237244902721471,0.0,7.310983315570322,0.0,11.548228218291793,7.328580041410345,0.0,no_record_zero+no_record_zero,0.0,False,False,True,23,0.0,30.0,29.0,32.5,14.0,32.5
00-0030107,2014,RB,80.3,artifact_row,102.6,7.328571428571428,14,23.0,2,True,2013.0,6.0,199.0,2.0,,2,0,86.17064804052666,52.71387829446021,70.81429973619947,38.35395563595187,58.339767421621744,26.786160620791705,129.1540671578212,86.17064804052666,65.14011625674357,artifact_row+artifact_row,311.6,True,True,False,23,311.6,4.0,3.0,4.0,30.0,4.0
00-0030117,2014,RB,21.0,artifact_row,33.0,6.6,5,23.0,2,True,2013.0,7.0,230.0,2.0,,2,0,40.7797197209741,16.95475617658077,25.32766296037677,12.336067602206745,23.7479944553797,8.615431778617216,49.07565741575647,40.7797197209741,20.95149938082396,artifact_row+artifact_row,76.1,False,True,False,23,76.1,21.0,17.0,17.0,33.0,15.0
00-0030128,2014,RB,6.2,artifact_row,6.2,1.55,4,26.0,2,True,2013.0,7.0,253.0,2.0,,2,0,4.995103175185581,3.1854390392363867,2.807247696967724,2.3176854282933883,4.205376292871267,1.6186568796189922,7.012623989838991,4.995103175185581,3.9363423079123807,no_record_zero+no_record_zero,0.0,False,False,True,23,0.0,34.0,33.0,25.0,36.0,25.0
00-0030282,2014,RB,63.1,artifact_row,66.2,5.092307692307693,13,23.0,2,True,2013.0,5.0,140.0,2.0,,2,0,66.02663853314597,34.01226845120142,53.21980676118899,24.746899250487463,43.685182080159834,17.28307829528666,96.90498884134882,66.02663853314597,42.02997754577412,artifact_row+no_record_zero,1.2000000000000002,False,True,True,23,1.2000000000000002,10.0,11.0,10.0,17.0,10.0
00-0030288,2014,RB,20.6,artifact_row,29.3,3.6625,8,24.0,1,True,2013.0,6.0,190.0,2.0,,2,1,37.52440161372059,15.053768362842924,31.70771430144121,10.952932749838109,21.67666518495697,7.6494591246510435,53.38437948639818,37.52440161372059,18.60239187448915,artifact_row+artifact_row,177.3,True,True,False,23,177.3,20.0,19.0,18.0,27.0,16.0
00-0030388,2014,RB,40.400000000000006,artifact_row,56.1,3.74,15,23.0,2,True,2013.0,5.0,151.0,2.0,,2,0,62.21486176014541,28.823085500187307,54.98718118996208,20.971314923751464,41.40049053457898,14.646234023649267,96.38767172454106,62.21486176014541,35.617548947400735,no_record_zero+no_record_zero,0.0,False,False,True,23,0.0,11.0,14.0,13.0,18.0,13.0
00-0030391,2014,RB,4.2,artifact_row,4.2,0.8400000000000001,5,23.0,2,True,2013.0,6.0,189.0,2.0,,2,0,16.34900135616118,2.1578780588375523,15.915289540629685,1.5700449675535857,13.307660706293763,1.0965094990967366,29.222950246923446,16.34900135616118,2.6665544666503225,artifact_row+no_record_zero,8.1,False,True,True,23,8.1,24.0,24.0,26.0,26.0,26.0
00-0030404,2014,RB,15.9,artifact_row,15.9,7.95,2,24.0,2,True,2013.0,5.0,154.0,2.0,,2,0,35.241123861912406,8.169109794170733,18.225288419178273,5.943741662881431,17.715499233297848,4.151071675151932,35.94078765247612,35.241123861912406,10.094813338033362,artifact_row+artifact_row,292.70000000000005,True,True,False,23,292.70000000000005,22.0,20.0,21.0,19.0,22.0
00-0030414,2014,RB,0.0,no_record_zero,0.0,,0,23.0,1,True,2013.0,6.0,194.0,2.0,,2,1,7.215539635706409,0.0,5.478483867042947,0.0,9.017212424923777,0.0,14.495696291966723,7.215539635706409,0.0,artifact_row+no_record_zero,193.8,True,True,True,23,193.8,29.0,30.0,32.5,29.0,32.5
00-0030432,2014,RB,19.5,artifact_row,19.700000000000003,1.97,10,24.0,2,True,2013.0,2.0,62.0,2.0,,2,0,24.10553276334164,10.12147565692852,17.638569835922798,7.364258538287057,14.245656952730476,5.143151698144218,31.884226788653272,24.10553276334164,12.507410236431275,artifact_row+no_record_zero,134.4,True,True,True,23,134.4,23.0,23.0,19.0,6.0,20.0
00-0030433,2014,RB,0.0,no_record_zero,0.0,,0,24.0,1,True,2013.0,5.0,164.0,2.0,,2,1,5.797521347966221,0.0,4.02360518991254,0.0,7.215856487827761,0.0,11.239461677740302,5.797521347966221,0.0,artifact_row+artifact_row,182.5,False,True,False,23,182.5,31.0,32.0,32.5,21.0,32.5
