origin,position,horizon,ordering,n,spearman,all_tied,n_positive,auc,picks,hits,points_captured,misses,busts,boundary_ties
2018,RB,23,rank_future_year1,37,0.4547049788879191,False,3,0.7549019607843137,2,0.0,21.700000000000003,3.0,1.0,0
2018,TE,23,rank_future_year1,25,0.5923394264157876,False,6,0.7105263157894737,2,0.0,83.7,6.0,0.0,0
2018,WR,23,rank_future_year1,48,0.5191963188717957,False,5,0.8372093023255814,2,1.0,331.4,4.0,0.0,0
2019,QB,23,rank_future_year1,9,-0.018257418583505537,False,0,,2,0.0,0.0,0.0,2.0,0
2019,RB,23,rank_future_year1,39,0.3718248549855269,False,8,0.6612903225806451,2,1.0,409.5,7.0,1.0,0
2019,TE,23,rank_future_year1,30,0.4217569141498114,False,5,0.664,2,0.0,143.3,5.0,0.0,0
2019,WR,23,rank_future_year1,46,0.33205266818291757,False,9,0.6606606606606606,2,0.0,41.0,9.0,1.0,0
2020,QB,23,rank_future_year1,10,-0.38029004338475825,False,0,,2,0.0,0.0,0.0,2.0,0
2020,RB,23,rank_future_year1,39,0.6754769608816488,False,5,0.8470588235294118,2,2.0,382.2,3.0,0.0,0
2020,TE,23,rank_future_year1,33,0.48571708465407193,False,3,0.8111111111111111,2,0.0,197.8,3.0,0.0,0
2020,WR,23,rank_future_year1,50,0.5260085562810489,False,6,0.6893939393939394,2,1.0,448.3,5.0,0.0,0
2021,QB,23,rank_future_year1,14,0.09635257977162426,False,1,0.9230769230769231,2,1.0,532.0,0.0,0.0,0
2021,RB,23,rank_future_year1,34,0.4539252389968216,False,3,0.6881720430107527,2,1.0,397.98,2.0,0.0,0
2021,TE,23,rank_future_year1,32,0.5054204873541237,False,1,0.6451612903225806,2,0.0,141.2,1.0,0.0,0
2021,WR,23,rank_future_year1,55,0.5671729204869906,False,4,0.8186274509803921,2,0.0,52.6,4.0,1.0,0
2022,QB,23,rank_future_year1,13,0.16182267881254697,False,1,0.4166666666666667,2,0.0,-0.8400000000000001,1.0,1.0,0
2022,RB,23,rank_future_year1,35,0.3279680592770019,False,3,0.8333333333333334,2,1.0,258.2,2.0,1.0,0
2022,TE,23,rank_future_year1,34,0.5737915715686187,False,6,0.9226190476190477,2,2.0,475.79999999999995,4.0,0.0,0
2022,WR,23,rank_future_year1,58,0.49853432825963995,False,7,0.8207282913165266,2,1.0,455.3,6.0,0.0,0
2014,QB,23,rank_origin_points,7,-0.48181205582971587,False,3,0.25,2,0.0,0.0,3.0,2.0,0
2014,RB,23,rank_origin_points,36,0.37508973219719627,False,12,0.6701388888888888,2,2.0,621.4,10.0,0.0,0
2014,TE,23,rank_origin_points,28,0.5866753324472457,False,3,0.7333333333333333,2,0.0,91.5,3.0,0.0,0
2014,WR,23,rank_origin_points,47,0.4665226528630154,False,7,0.7642857142857142,2,0.0,237.5,7.0,0.0,0
2015,QB,23,rank_origin_points,9,-0.5126050420168068,False,2,0.14285714285714285,2,0.0,2.3600000000000003,2.0,0.0,0
2015,RB,23,rank_origin_points,31,0.7320095416676176,False,7,0.8333333333333334,2,1.0,655.5999999999999,6.0,0.0,0
2015,TE,23,rank_origin_points,28,0.29737563176342563,False,4,0.6979166666666666,2,1.0,163.39999999999998,3.0,1.0,0
2015,WR,23,rank_origin_points,50,0.4583608265223209,False,9,0.7723577235772358,2,1.0,305.1,8.0,1.0,0
2016,QB,23,rank_origin_points,12,0.21023189612213197,False,2,0.9,2,1.0,283.54,1.0,1.0,0
2016,RB,23,rank_origin_points,30,0.6499983891093009,False,5,0.776,2,1.0,486.76,4.0,0.0,0
2016,TE,23,rank_origin_points,30,0.37817465257232263,False,4,0.8557692307692307,2,0.0,122.1,4.0,0.0,0
2016,WR,23,rank_origin_points,54,0.3682557294269791,False,8,0.7595108695652174,2,1.0,161.9,7.0,1.0,0
2017,QB,23,rank_origin_points,10,-0.030773783440820268,False,1,0.2777777777777778,2,0.0,0.0,1.0,2.0,0
2017,RB,23,rank_origin_points,34,0.5734671800752345,False,7,0.9047619047619048,2,2.0,348.5,5.0,0.0,0
2017,TE,23,rank_origin_points,33,0.48913481612341797,False,4,0.6681034482758621,2,1.0,382.9,3.0,0.0,0
2017,WR,23,rank_origin_points,59,0.5327705686412603,False,12,0.851063829787234,2,2.0,592.8,10.0,0.0,0
2018,QB,23,rank_origin_points,8,0.6151246852292455,False,0,,2,0.0,2.1,0.0,1.0,0
2018,RB,23,rank_origin_points,37,0.4644158002818485,False,3,0.7549019607843137,2,0.0,123.2,3.0,0.0,0
2018,TE,23,rank_origin_points,25,0.50318641574025,False,6,0.6929824561403509,2,0.0,132.2,6.0,0.0,0
2018,WR,23,rank_origin_points,48,0.41488045224478726,False,5,0.8232558139534883,2,2.0,428.1,3.0,0.0,0
2019,QB,23,rank_origin_points,9,-0.48,False,0,,2,0.0,0.0,0.0,2.0,0
2019,RB,23,rank_origin_points,39,0.3781444975032246,False,8,0.6633064516129032,2,2.0,622.5,6.0,0.0,0
2019,TE,23,rank_origin_points,30,0.5887813864916924,False,5,0.744,2,2.0,642.3000000000001,3.0,0.0,0
2019,WR,23,rank_origin_points,46,0.31627579744366285,False,9,0.6591591591591591,2,1.0,289.5,8.0,0.0,0
2020,QB,23,rank_origin_points,10,-0.12832838666786217,False,0,,2,0.0,0.0,0.0,2.0,0
2020,RB,23,rank_origin_points,39,0.6727476984505824,False,5,0.7941176470588235,2,1.0,313.7,4.0,0.0,0
2020,TE,23,rank_origin_points,33,0.4979720562215213,False,3,0.7888888888888889,2,0.0,198.6,3.0,0.0,0
2020,WR,23,rank_origin_points,50,0.46142569118720134,False,6,0.6363636363636364,2,1.0,518.3,5.0,0.0,0
2021,QB,23,rank_origin_points,14,0.279278921381028,False,1,0.9230769230769231,2,1.0,532.0,0.0,0.0,0
2021,RB,23,rank_origin_points,34,0.42577330760397303,False,3,0.6935483870967742,2,1.0,397.98,2.0,0.0,0
2021,TE,23,rank_origin_points,32,0.4399511114320076,False,1,0.5806451612903226,2,0.0,141.2,1.0,0.0,0
2021,WR,23,rank_origin_points,55,0.49342218540382504,False,4,0.7279411764705882,2,0.0,52.6,4.0,1.0,0
2022,QB,23,rank_origin_points,13,0.5558587369677201,False,1,0.5833333333333334,2,0.0,21.48,1.0,1.0,0
2022,RB,23,rank_origin_points,35,0.05792709166505351,False,3,0.6875,2,1.0,258.2,2.0,1.0,0
2022,TE,23,rank_origin_points,34,0.5176692604677443,False,6,0.8869047619047619,2,1.0,304.9,5.0,0.0,0
2022,WR,23,rank_origin_points,58,0.4669093574718964,False,7,0.7647058823529411,2,1.0,450.8,6.0,0.0,0
2014,QB,23,rank_draft,7,0.29649972666444047,False,3,0.75,2,1.0,216.68,2.0,1.0,0
2014,RB,23,rank_draft,36,0.08005998432766434,False,12,0.5607638888888888,2,0.0,3.8,12.0,1.0,0
2014,TE,23,rank_draft,28,0.5248366373762322,False,3,0.92,2,1.0,369.6,2.0,0.0,0
2014,WR,23,rank_draft,47,0.12515703428470243,False,7,0.7214285714285714,2,1.0,125.5,6.0,1.0,0
2015,QB,23,rank_draft,9,-0.16736548175114463,False,2,0.5,2,1.0,120.28,1.0,0.0,0
2015,RB,23,rank_draft,31,0.2685103082965115,False,7,0.75,2,2.0,842.0999999999999,5.0,0.0,0
2015,TE,23,rank_draft,28,0.017019004552692826,False,4,0.765625,2,1.0,127.7,3.0,1.0,0
2015,WR,23,rank_draft,50,0.4887026700629007,False,9,0.8455284552845529,2,2.0,505.6,7.0,0.0,0
2016,QB,23,rank_draft,12,0.015595993903683134,False,2,0.85,2,1.0,283.54,1.0,1.0,0
