origin,position,horizon,ordering,budget,n,picks,hits,points_captured,points_per_slot,misses,busts,boundary_ties,fractional_credit_applied
2021,TE,23,rank_future_sum,1,32,1,0.0,53.60000000000001,53.60000000000001,1.0,0.0,0,False
2021,WR,23,rank_future_sum,1,55,1,0.0,0.0,0.0,4.0,1.0,0,False
2022,QB,23,rank_future_sum,1,13,1,0.0,-0.8400000000000001,-0.8400000000000001,1.0,0.0,0,False
2022,RB,23,rank_future_sum,1,35,1,1.0,258.2,258.2,2.0,0.0,0,False
2022,TE,23,rank_future_sum,1,34,1,0.0,64.5,64.5,6.0,0.0,0,False
2022,WR,23,rank_future_sum,1,58,1,1.0,422.0,422.0,6.0,0.0,0,False
2014,QB,23,rank_future_sum,3,7,3,1.0,108.30000000000001,36.1,2.0,2.0,0,False
2014,RB,23,rank_future_sum,3,36,3,2.0,703.5,234.5,10.0,0.0,0,False
2014,TE,23,rank_future_sum,3,28,3,1.0,372.2,124.06666666666666,2.0,0.0,0,False
2014,WR,23,rank_future_sum,3,47,3,1.0,551.2,183.73333333333335,6.0,0.0,0,False
2015,QB,23,rank_future_sum,3,9,3,0.0,2.3600000000000003,0.7866666666666667,2.0,1.0,0,False
2015,RB,23,rank_future_sum,3,31,3,1.0,734.5999999999999,244.86666666666665,6.0,0.0,0,False
2015,TE,23,rank_future_sum,3,28,3,1.0,193.0,64.33333333333333,3.0,1.0,0,False
2015,WR,23,rank_future_sum,3,50,3,2.0,496.40000000000003,165.46666666666667,7.0,0.0,0,False
2016,QB,23,rank_future_sum,3,12,3,1.0,212.88,70.96,1.0,2.0,0,False
2016,RB,23,rank_future_sum,3,30,3,1.0,491.56,163.85333333333332,4.0,0.0,0,False
2016,TE,23,rank_future_sum,3,30,3,1.0,453.6,151.20000000000002,3.0,0.0,0,False
2016,WR,23,rank_future_sum,3,54,3,1.0,174.5,58.166666666666664,7.0,1.0,0,False
2017,QB,23,rank_future_sum,3,10,3,1.0,650.38,216.79333333333332,0.0,2.0,0,False
2017,RB,23,rank_future_sum,3,34,3,3.0,978.7,326.23333333333335,4.0,0.0,0,False
2017,TE,23,rank_future_sum,3,33,3,1.0,447.0,149.0,3.0,0.0,0,False
2017,WR,23,rank_future_sum,3,59,3,3.0,1029.6,343.2,9.0,0.0,0,False
2018,QB,23,rank_future_sum,3,8,3,0.0,2.1,0.7000000000000001,0.0,2.0,0,False
2018,RB,23,rank_future_sum,3,37,3,0.0,144.9,48.300000000000004,3.0,0.0,0,False
2018,TE,23,rank_future_sum,3,25,3,0.0,191.9,63.96666666666667,6.0,0.0,0,False
2018,WR,23,rank_future_sum,3,48,3,2.0,503.59999999999997,167.86666666666665,3.0,0.0,0,False
2019,QB,23,rank_future_sum,3,9,3,0.0,28.88,9.626666666666667,0.0,2.0,0,False
2019,RB,23,rank_future_sum,3,39,3,2.0,601.7,200.5666666666667,6.0,1.0,0,False
2019,TE,23,rank_future_sum,3,30,3,0.0,194.10000000000002,64.7,5.0,0.0,0,False
2019,WR,23,rank_future_sum,3,46,3,1.0,289.5,96.5,8.0,1.0,0,False
2020,QB,23,rank_future_sum,3,10,3,0.0,0.0,0.0,0.0,3.0,0,False
2020,RB,23,rank_future_sum,3,39,3,3.0,580.9,193.63333333333333,2.0,0.0,0,False
2020,TE,23,rank_future_sum,3,33,3,2.0,560.7,186.9,1.0,0.0,0,False
2020,WR,23,rank_future_sum,3,50,3,1.0,518.3000000000001,172.76666666666668,5.0,0.0,0,False
2021,QB,23,rank_future_sum,3,14,3,1.0,532.0,177.33333333333334,0.0,1.0,0,False
2021,RB,23,rank_future_sum,3,34,3,2.0,520.58,173.52666666666667,1.0,0.0,0,False
2021,TE,23,rank_future_sum,3,32,3,0.0,156.3,52.1,1.0,0.0,0,False
2021,WR,23,rank_future_sum,3,55,3,1.0,255.70000000000002,85.23333333333333,3.0,1.0,0,False
2022,QB,23,rank_future_sum,3,13,3,0.0,20.64,6.88,1.0,1.0,0,False
2022,RB,23,rank_future_sum,3,35,3,2.0,782.5,260.8333333333333,1.0,1.0,0,False
2022,TE,23,rank_future_sum,3,34,3,2.0,478.29999999999995,159.4333333333333,4.0,0.0,0,False
2022,WR,23,rank_future_sum,3,58,3,2.0,841.6,280.53333333333336,5.0,0.0,0,False
2014,QB,23,rank_future_year1,2,7,2,0.0,0.0,0.0,3.0,2.0,0,False
2014,RB,23,rank_future_year1,2,36,2,1.0,273.7,136.85,11.0,0.0,0,False
