player_id,origin,position,origin_points,origin_label_source,total_points_t,ppg_t,games_t,age,observed_history_seasons,draft_visible,draft_season,draft_round,draft_pick,nfl_years_since_draft,exclusion_reason,prior_seasons_checked,prior_no_record_seasons,policy_1,persistence_1,future_sum,future_year1,persistence_sum,label_sources,realized_sum,contributor_any,appeared,any_no_record,horizon,realized_points,rank_future_sum,rank_future_year1,rank_origin_points,rank_draft,rank_persistence
00-0027098,2011,RB,0.0,no_record_zero,0.0,,0,25.0,2,True,2009.0,4.0,134.0,3.0,,3,1,2.1908299611967177,0.0,2.1908299611967177,2.1908299611967177,0.0,no_record_zero,0.0,False,False,True,1,0.0,33.0,33.0,33.5,15.0,33.5
00-0027120,2011,RB,69.2,artifact_row,69.2,5.766666666666667,12,24.0,3,True,2009.0,5.0,173.0,3.0,,3,0,65.88518128775273,36.097037617087814,65.88518128775273,65.88518128775273,36.097037617087814,artifact_row,5.6000000000000005,False,True,False,1,5.6000000000000005,5.0,5.0,4.0,18.5,6.0
00-0027129,2011,RB,1.9,artifact_row,1.9,1.9,1,26.0,3,True,2009.0,6.0,192.0,3.0,,3,0,1.4078495803784472,0.9911036339951856,1.4078495803784472,1.4078495803784472,0.9911036339951856,no_record_zero,0.0,False,False,True,1,0.0,35.0,35.0,27.5,25.0,27.5
00-0027130,2011,RB,0.0,no_record_zero,0.0,,0,25.0,2,True,2009.0,6.0,195.0,3.0,,3,1,3.323166852406247,0.0,3.323166852406247,3.323166852406247,0.0,no_record_zero,0.0,False,False,True,1,0.0,32.0,32.0,33.5,26.0,33.5
00-0027140,2011,RB,77.5,artifact_row,77.5,6.458333333333333,12,25.0,2,True,2009.0,7.0,211.0,3.0,,3,1,63.49439024828942,40.426595597172046,63.49439024828942,63.49439024828942,40.426595597172046,artifact_row,40.5,False,True,False,1,40.5,7.0,7.0,2.0,28.0,4.0
00-0027155,2011,RB,0.0,no_record_zero,0.0,,0,26.0,2,True,2009.0,7.0,250.0,3.0,,3,1,11.20267384706655,0.0,11.20267384706655,11.20267384706655,0.0,artifact_row,72.3,False,True,False,1,72.3,25.0,25.0,33.5,35.0,33.5
00-0027612,2011,RB,2.7,artifact_row,2.7,0.27,10,24.0,1,True,2010.0,7.0,237.0,2.0,,2,1,16.705970724084107,1.4084104272563165,16.705970724084107,16.705970724084107,1.4084104272563165,no_record_zero,0.0,False,False,True,1,0.0,21.0,21.0,25.5,33.0,25.5
00-0027666,2011,RB,53.0,artifact_row,52.8,5.866666666666667,9,24.0,1,True,2010.0,2.0,59.0,2.0,,2,1,53.43664521051701,27.542248355234634,53.43664521051701,53.43664521051701,27.542248355234634,artifact_row,33.0,False,True,False,1,33.0,12.0,12.0,8.0,2.0,9.0
00-0027712,2011,RB,46.3,artifact_row,46.3,3.086666666666667,15,23.0,2,True,2010.0,4.0,112.0,2.0,,2,0,55.85587128048075,24.151630659987948,55.85587128048075,55.85587128048075,24.151630659987948,artifact_row,26.500000000000004,False,True,False,1,26.500000000000004,9.0,9.0,10.5,6.0,12.0
00-0027772,2011,RB,12.6,artifact_row,22.6,1.4125,16,24.0,2,True,2010.0,6.0,173.0,2.0,,2,0,41.30136710820423,11.788916909626945,41.30136710820423,41.30136710820423,11.788916909626945,artifact_row,19.2,False,True,False,1,19.2,14.0,14.0,15.0,18.5,14.0
00-0027779,2011,RB,38.4,artifact_row,39.0,3.25,12,25.0,2,True,2010.0,6.0,180.0,2.0,,2,0,38.28526408678615,20.343706171480125,38.28526408678615,38.28526408678615,20.343706171480125,artifact_row,0.0,False,True,False,1,0.0,15.0,15.0,12.0,21.0,13.0
00-0027786,2011,RB,13.9,artifact_row,13.9,4.633333333333334,3,22.0,2,True,2010.0,6.0,188.0,2.0,,2,0,25.289096598233375,7.250705532912148,25.289096598233375,25.289096598233375,7.250705532912148,artifact_row,91.8,True,True,False,1,91.8,19.0,19.0,14.0,24.0,17.0
00-0027994,2011,RB,11.7,artifact_row,11.7,3.9,3,22.0,1,True,2011.0,2.0,56.0,1.0,,1,0,27.021397733047728,6.103111851444038,27.021397733047728,27.021397733047728,6.103111851444038,artifact_row,66.2,False,True,False,1,66.2,17.0,17.0,18.0,1.0,19.0
00-0028000,2011,RB,75.30000000000001,artifact_row,81.30000000000001,6.253846153846155,13,24.0,1,True,2011.0,2.0,62.0,1.0,,1,0,74.07678447201769,42.40880286516243,74.07678447201769,74.07678447201769,42.40880286516243,artifact_row,83.1,True,True,False,1,83.1,3.0,3.0,3.0,3.0,2.0
00-0028011,2011,RB,46.3,artifact_row,55.9,4.3,13,22.0,1,True,2011.0,3.0,73.0,1.0,,1,0,66.70117156004872,29.15931217912151,66.70117156004872,66.70117156004872,29.15931217912151,artifact_row,186.0,True,True,False,1,186.0,4.0,4.0,10.5,4.0,8.0
00-0028034,2011,RB,2.7,artifact_row,2.7,1.35,2,23.0,1,True,2011.0,3.0,96.0,1.0,,1,0,8.952017630181277,1.4084104272563165,8.952017630181277,8.952017630181277,1.4084104272563165,artifact_row,76.9,False,True,False,1,76.9,28.0,28.0,25.5,5.0,25.5
