gsis_id,name,position,team,draft_season,pick,round,age_at_draft,coverage_status,p_qual_year1,p_qual_year2,p_qual_year3,p_qual_year4,p_qual_year5,p_played_h1,p_qual_h1,e_qual_seasons_h1,e_qual_seasons_given_qual_h1,p_played_h2,p_qual_h2,e_qual_seasons_h2,e_qual_seasons_given_qual_h2,p_played_h3,p_qual_h3,e_qual_seasons_h3,e_qual_seasons_given_qual_h3,p_played_h4,p_qual_h4,e_qual_seasons_h4,e_qual_seasons_given_qual_h4,p_played_h5,p_qual_h5,e_qual_seasons_h5,e_qual_seasons_given_qual_h5,model_version,p_qual_year1_lo90,p_qual_year1_hi90,p_qual_year2_lo90,p_qual_year2_hi90,p_qual_year3_lo90,p_qual_year3_hi90,p_qual_year4_lo90,p_qual_year4_hi90,p_qual_year5_lo90,p_qual_year5_hi90,p_played_h1_lo90,p_played_h1_hi90,p_qual_h1_lo90,p_qual_h1_hi90,e_qual_seasons_h1_lo90,e_qual_seasons_h1_hi90,e_qual_seasons_given_qual_h1_lo90,e_qual_seasons_given_qual_h1_hi90,p_played_h2_lo90,p_played_h2_hi90,p_qual_h2_lo90,p_qual_h2_hi90,e_qual_seasons_h2_lo90,e_qual_seasons_h2_hi90,e_qual_seasons_given_qual_h2_lo90,e_qual_seasons_given_qual_h2_hi90,p_played_h3_lo90,p_played_h3_hi90,p_qual_h3_lo90,p_qual_h3_hi90,e_qual_seasons_h3_lo90,e_qual_seasons_h3_hi90,e_qual_seasons_given_qual_h3_lo90,e_qual_seasons_given_qual_h3_hi90,p_played_h4_lo90,p_played_h4_hi90,p_qual_h4_lo90,p_qual_h4_hi90,e_qual_seasons_h4_lo90,e_qual_seasons_h4_hi90,e_qual_seasons_given_qual_h4_lo90,e_qual_seasons_given_qual_h4_hi90,p_played_h5_lo90,p_played_h5_hi90,p_qual_h5_lo90,p_qual_h5_hi90,e_qual_seasons_h5_lo90,e_qual_seasons_h5_hi90,e_qual_seasons_given_qual_h5_lo90,e_qual_seasons_given_qual_h5_hi90
00-0041562,Fernando Mendoza,QB,LVR,2026,1,1,22.0,scored,0.893573738632923,0.953888784109933,0.8559075800440575,0.8675277359915182,0.8514283770913537,0.9761298305265782,0.893573738632923,0.893573738632923,1.0,0.9999678554670351,0.9820303251293754,1.847462522742856,1.8812683024828853,0.9999543735961639,0.9861069189023768,2.7033701027869137,2.741457392668942,0.9999555819516732,0.991559569137702,3.570897838778432,3.6012943144543708,0.9999734056156412,0.9925150991660472,4.422326215869786,4.455676512715635,dg165_rookie_capital_v1,0.8203995000622141,0.9581948271943246,0.9123829489540066,0.9884724444250165,0.7604503307311957,0.9413368300916809,0.7687047116087352,0.9411607692650444,0.7496335188030454,0.9215754489411879,0.9324320204523924,0.9963707544102022,0.8203995000622141,0.9581948271943246,0.8203995000622141,0.9581948271943246,1.0,1.0,0.9995741276890365,0.9999986751806927,0.9561649676780011,0.9966593946811017,1.756122518637563,1.9349329944690186,1.808877914035888,1.9456700718170732,0.9994379926822513,0.9999972623124186,0.9620663660821585,0.998187513904897,2.541309163586286,2.8572720668069516,2.611859917939787,2.876846331587829,0.9995704810829115,0.9999972752035842,0.9682868490771543,0.9992654186888607,3.345245851871901,3.777298081849071,3.400328877345495,3.79165810003658,0.9996538236480074,0.999998511910186,0.9703666358907819,0.9994008805374422,4.1275544680401595,4.677121823636689,4.187327564934313,4.689303698590473
00-0041027,Jeremiyah Love,RB,ARI,2026,3,1,21.0,scored,0.8940658887365084,0.9586622416825498,0.9030771468145157,0.9420724044646146,0.8624636232526416,0.9850666913827121,0.8940658887365084,0.8940658887365084,1.0,0.9999530907694704,0.9903474304429869,1.8527281304190582,1.8707860226287703,0.9999351520604561,0.993197348519403,2.755805277233574,2.7746804613823803,0.9999438320040565,0.9937683250582562,3.6978776816981886,3.721066156421733,0.9999326433968626,0.9952008190570706,4.56034130495083,4.58233274895377,dg165_rookie_capital_v1,0.8154462421037569,0.9466137602341024,0.909292182455729,0.9877713999841282,0.8144281927374964,0.9597518971925473,0.8770735484036617,0.9814274028051969,0.7688342546692225,0.9383347187478679,0.9576693591840442,0.9981633940934393,0.8154462421037569,0.9466137602341024,0.8154462421037569,0.9466137602341024,1.0,1.0,0.9997201794901287,0.9999933559586646,0.9789623998174535,0.9965999839180204,1.7636356075354094,1.9162148637128316,1.787817058149973,1.9323045938431593,0.9996523605192047,0.9999891327605085,0.9828507484920498,0.9978540194489881,2.615840635011465,2.8477151780446848,2.649368938802596,2.8637240686095895,0.9996856772046648,0.9999899337193721,0.985115338994898,0.9984385414647342,3.5416218157504673,3.8077741806007714,3.5718113379591805,3.826166133423476,0.9996628165899165,0.9999878675624931,0.9881623042068682,0.9989383104891196,4.348665153813889,4.712298743754131,4.377260132245047,4.729567432589093
00-0041438,Carnell Tate,WR,TEN,2026,4,1,21.0,scored,0.7916434618212608,0.7705771492971052,0.8258924206144509,0.8510209850676379,0.7304344557373733,0.9905212808981262,0.7916434618212608,0.7916434618212608,1.0,0.9998854232830049,0.9057753279136466,1.562220611118366,1.7247330137781174,0.9998733652276712,0.9449061234247197,2.388113031732817,2.5273548054460004,0.9998912721877583,0.9415425436753803,3.2391340168004548,3.4402418016675678,0.9998738956742184,0.9500206735130317,3.969568472537828,4.178402200300514,dg165_rookie_capital_v1,0.6981426450297071,0.8746421187087253,0.6770406177629776,0.8563727835905468,0.7361001466051152,0.8911011189570193,0.7808734119851958,0.9121378817701029,0.6446079806019964,0.8222044257009528,0.9641716681598299,0.9988893297549299,0.6981426450297071,0.8746421187087253,0.6981426450297071,0.8746421187087253,1.0,1.0,0.9994674149910904,0.9999821158955626,0.838944943368114,0.9536290092934068,1.402413951217622,1.6959937311641695,1.6326277809965541,1.8232705330196903,0.9994571954343096,0.9999811977671244,0.8909321041109045,0.9775473985496237,2.173049186870054,2.565214702505565,2.365705671858462,2.669137004099969,0.9995388182786065,0.9999800756118121,0.8874581131536117,0.9773138354883835,2.996169236443843,3.4690463856563047,3.262415933705564,3.63330371150046,0.9994467962343533,0.9999793708520506,0.899230354382034,0.9840510622316262,3.68175958665908,4.253890274112072,3.9623936334426277,4.415420326988196
00-0041029,Jordyn Tyson,WR,NOR,2026,8,1,22.0,scored,0.7052867543950547,0.694990202710382,0.7482782858154555,0.738029230580406,0.6010552653889579,0.9859862877269902,0.7052867543950547,0.7052867543950547,1.0,0.9995921919625833,0.8418572191452826,1.4002769571054368,1.6633188208887777,0.9995414347866675,0.8963849300723943,2.1485552429208923,2.396911383536278,0.999593022721068,0.8910972534748608,2.886584473501298,3.239359634703142,0.9995434061390901,0.9034565064690446,3.4876397388902562,3.8603294280550453,dg165_rookie_capital_v1,0.6163049747288026,0.7892221212660151,0.6064202884508422,0.7717171783059271,0.6667494943693913,0.8134219336862649,0.6671534872481837,0.8052483811710359,0.5260701636472026,0.6908189657997341,0.9605990803643232,0.997104703241135,0.6163049747288026,0.7892221212660151,0.6163049747288026,0.7892221212660151,1.0,1.0,0.9987826728730231,0.9998944439302964,0.7815021468815196,0.8985406731113577,1.2615104578955576,1.5379142694852104,1.5749957789134512,1.7586781586639277,0.9985379885737146,0.9998899152253898,0.8322287292354668,0.9404526167395056,1.960891697161044,2.3226427641715754,2.2591651936972665,2.5372323247896515,0.9987243029025807,0.9998915280440422,0.8247603397672278,0.9399643054342162,2.662762086185326,3.104204327960774,3.057601414455505,3.413567307708094,0.9985817496268096,0.9998876172774339,0.8436112956216094,0.9540148665305106,3.2234167427605738,3.7752280286113145,3.6472770571659936,4.094030190853945
00-0041568,Ty Simpson,QB,LAR,2026,13,1,23.0,scored,0.6414504893600919,0.7594664752804924,0.5741275915587281,0.5534365199540549,0.46961229283541267,0.9302013380743754,0.6414504893600919,0.6414504893600919,1.0,0.9972260048088963,0.8363497764286838,1.4009169646405844,1.6750371723929571,0.9969493359621552,0.8628043471251494,1.9750445561993124,2.2890989860912616,0.9970819025035819,0.9026389055084341,2.5284810761533674,2.801209942007914,0.9979294248167024,0.9060704171451018,2.99809336898878,3.3088966511403637,dg165_rookie_capital_v1,0.5701445050733308,0.7293266444418913,0.6911606857377685,0.8526950350140433,0.49587452016953654,0.6681277369891204,0.47956596632389853,0.6462344426853673,0.37908506644390966,0.547198229063988,0.8954194213039911,0.9657493298413339,0.5701445050733308,0.7293266444418913,0.5701445050733308,0.7293266444418913,1.0,1.0,0.9920320259235212,0.9992202535589055,0.7772069233711713,0.9061675435332034,1.2847736816242379,1.556319712540661,1.5769661193203452,1.764773630750045,0.9915241099552288,0.9992289779338371,0.8056927469565057,0.9253249970406462,1.8142180292222765,2.2160061256090504,2.1117823325330143,2.466021612005055,0.9917806992283725,0.9992501928623287,0.8395463915931154,0.9584305099868599,2.315747767402951,2.791241347510726,2.5835170663294003,3.0259605663331364,0.9932895271109545,0.9994871427365721,0.8411210860618926,0.9628953845041225,2.7570491723986494,3.31213247687276,3.0540806847463746,3.571793637197721
00-0041032,Kenyon Sadiq,TE,NYJ,2026,16,1,21.0,scored,0.5060657711191137,0.7774001340294913,0.7731950382205086,0.7577373099267355,0.6423599287674054,0.9887145851260072,0.5060657711191137,0.5060657711191137,1.0,0.9990842983240544,0.8436441410342299,1.283465905148605,1.5213356470124881,0.9992178470542843,0.9180314005533888,2.0566609433691134,2.240294767836219,0.9995614447954146,0.9344514631802939,2.814398253295849,3.011818552584187,0.9995557916995705,0.9394177427721149,3.4567581820632545,3.679681599224169,dg165_rookie_capital_v1,0.37354070025785446,0.6238027881461593,0.6742161149574626,0.8863178213274034,0.6885051717977487,0.8518078189625137,0.668276132622743,0.8516521770798374,0.5441673555104412,0.7508008763966354,0.9775818033280371,0.9951416007737443,0.37354070025785446,0.6238027881461593,0.37354070025785446,0.6238027881461593,1.0,1.0,0.9973911802286755,0.9996984880749484,0.7574531954032667,0.9145379777933852,1.1091511945542574,1.4696121853545543,1.3934364016204284,1.6507359219383817,0.9976381965299902,0.9997250845970534,0.8812175694787471,0.9522236685022119,1.852517275860891,2.2862509482367157,2.0214555881689917,2.44143746661196,0.999147947760197,0.9998088788234109,0.9069125312661707,0.9656789202394064,2.565736546124353,3.089904847303328,2.747102917836686,3.2865014684920126,0.9991129218381796,0.9997944410637382,0.9097263227354235,0.9674539277085769,3.169944337310586,3.770568178272263,3.412694925713463,3.9967345454144487
00-0040867,Makai Lemon,WR,PHI,2026,20,1,22.0,scored,0.5908687177947811,0.6194716378093512,0.6588487142074563,0.595562120497785,0.4723294628624605,0.9781919566224327,0.5908687177947811,0.5908687177947811,1.0,0.9981426856642668,0.7443149831328097,1.2103403556041323,1.6261131147862016,0.9980314720228005,0.811050680623773,1.8691890698115885,2.3046513793367502,0.9981570021963992,0.81129722371382,2.4647511903093733,3.038037254739576,0.9981125887318707,0.8263383374628331,2.937080653171834,3.55433182755355,dg165_rookie_capital_v1,0.5302524910610245,0.6537752186153475,0.5682316839258593,0.6746580745247558,0.5961444607893833,0.7093492501516045,0.5373530806082452,0.6561265899982693,0.4049396291483383,0.5252595370861148,0.9611798876428573,0.9913698887290494,0.5302524910610245,0.6537752186153475,0.5302524910610245,0.6537752186153475,1.0,1.0,0.9963585682758325,0.9991660582757564,0.6956549298133925,0.7963414458340635,1.105717254979799,1.3072239450252559,1.5560202162237782,1.690388794338436,0.9961367194805699,0.9991697275444468,0.7635678362050627,0.8586194972430606,1.7207674570714233,2.006858317634811,2.18481405959985,2.3955873282018665,0.9963239060741427,0.999183895482387,0.7648280809081844,0.8630471235050169,2.2985307196775984,2.6468804260203913,2.8895197206040097,3.173971129773489,0.9962118268316336,0.9992104181492075,0.7804313006449238,0.8798857708323313,2.7198534730048833,3.1541748695986223,3.3631731086075494,3.7402549120414004
00-0041547,KC Concepcion,WR,CLE,2026,24,1,21.0,scored,0.585956143983179,0.6350765561581594,0.6711607472351173,0.6163413687827554,0.49467653554884566,0.9774426810434597,0.585956143983179,0.585956143983179,1.0,0.9977770109014964,0.7470257536752777,1.2210327001413384,1.6345255757703172,0.9978110708925543,0.813300351490585,1.8921934473764557,2.326561698772806,0.9979136490024704,0.8206587143425534,2.508534816159211,3.0567332952393613,0.9979754175969069,0.8351159574021106,3.0032113517080568,3.5961608984822715,dg165_rookie_capital_v1,0.5216035932059914,0.6478386522129796,0.5842157676905758,0.6891710050796691,0.6130798868728303,0.7237867211145085,0.5573032793231895,0.6766071984231332,0.43031222376657524,0.5533377157259406,0.9629571550388919,0.990084955722982,0.5216035932059914,0.6478386522129796,0.5216035932059914,0.6478386522129796,1.0,1.0,0.9959480640826859,0.9989211100147002,0.6977563017258608,0.8006764118797375,1.1281440259896465,1.320801537747019,1.566218506244745,1.6940032908473448,0.9960369334840311,0.9989882957683386,0.7700610042461922,0.8567717308807593,1.7505577085515327,2.0363324307822066,2.2214545998035273,2.4173882980074297,0.9962936317779202,0.9990204524294479,0.777056246703155,0.8691127625830926,2.333271561743139,2.6961958957838945,2.9117698828216896,3.183551366548007,0.9962508242267388,0.9991347369672603,0.7947787468563905,0.88478984524779,2.7835220117190675,3.2170161025288144,3.4117236168103084,3.7905021862926516
00-0041511,Omar Cooper Jr.,WR,NYJ,2026,30,1,22.0,scored,0.5359559024968655,0.5838295714034856,0.6147497604977928,0.5249627832564318,0.4155202521118148,0.9735120332763988,0.5359559024968655,0.5359559024968655,1.0,0.9963712870187308,0.6902788738982478,1.1197854739003512,1.6222218529976564,0.9962532925440168,0.7589126001674489,1.7345352343981442,2.2855533483242088,0.9964082663530901,0.763811650295412,2.259498017654576,2.958187423274693,0.9964668798325068,0.7791311994377075,2.6750182697663907,3.433334811514324,dg165_rookie_capital_v1,0.480158868588299,0.5930105221868262,0.5226059017381381,0.6317667778185496,0.5555931788421461,0.6658690242808861,0.4663420392681351,0.5796614182422747,0.34695761259405206,0.4665037941374835,0.9606293607308417,0.9859588896466551,0.480158868588299,0.5930105221868262,0.480158868588299,0.5930105221868262,1.0,1.0,0.9939505612878063,0.9979172409899433,0.6395572790049945,0.7380365557692506,1.0228203081066527,1.2113591970662456,1.5569283284910367,1.6803596701858905,0.9936153427284535,0.9979679164656071,0.7111793098360741,0.805148883901288,1.6060215599799574,1.8622039990376684,2.170255868334279,2.3822922453233843,0.9939575314514276,0.9981908951121338,0.713489844315449,0.8103407380438926,2.082453308262035,2.4286130318615125,2.8062912411078296,3.094766660724026,0.9938691407594366,0.998382908631803,0.7345132203833842,0.8265912078164092,2.4410566717292,2.8671673427530173,3.2443659713331696,3.617093128985457
00-0041512,Jadarian Price,RB,SEA,2026,32,1,22.0,scored,0.6697926899581148,0.7521342129018911,0.6709250291467591,0.5967803203295291,0.45022296349754815,0.9668636738019809,0.6697926899581148,0.6697926899581148,1.0,0.9960969756092244,0.8638339556607368,1.421926902860006,1.6460650725085124,0.99518322904695,0.8844558992856878,2.092851932006765,2.366259226375236,0.995422972493119,0.8956585908350723,2.689632252336294,3.0029659513772993,0.9953109300023257,0.9050221898760353,3.139855215833842,3.4693682110312913,dg165_rookie_capital_v1,0.6104451820724637,0.7275163430677967,0.6983317133344158,0.805248626000436,0.6034707536417844,0.7307221660209419,0.526987884534376,0.6742998892706756,0.38534316829690207,0.5135052002598696,0.9496483752735722,0.9826283560488942,0.6104451820724637,0.7275163430677967,0.6104451820724637,0.7275163430677967,1.0,1.0,0.9929265018315225,0.9979001731282361,0.827438005432507,0.8968427071625563,1.340906934073256,1.4976474482794344,1.575450576093221,1.7204699470913012,0.9909309596731533,0.9973789056294212,0.8515191061367007,0.9144611209597119,1.9806670111196045,2.202115515810539,2.2680223996736553,2.455572291115295,0.9917230813007075,0.9974806828868104,0.86370676090175,0.9234167284773533,2.545556775820634,2.8339723887482977,2.870806113091197,3.1351935494556464,0.9914988871596782,0.9974827821696797,0.8729284576030151,0.9314763558288758,2.9515606443731732,3.309211180215618,3.2835837662378693,3.6616164732269807
