gsis_id,name,position,team,draft_season,pick,round,age_at_draft,coverage_status,p_qual_year1,p_qual_year2,p_qual_year3,p_qual_year4,p_qual_year5,p_played_h1,p_qual_h1,e_qual_seasons_h1,e_qual_seasons_given_qual_h1,p_played_h2,p_qual_h2,e_qual_seasons_h2,e_qual_seasons_given_qual_h2,p_played_h3,p_qual_h3,e_qual_seasons_h3,e_qual_seasons_given_qual_h3,p_played_h4,p_qual_h4,e_qual_seasons_h4,e_qual_seasons_given_qual_h4,p_played_h5,p_qual_h5,e_qual_seasons_h5,e_qual_seasons_given_qual_h5,model_version,p_qual_year1_lo90,p_qual_year1_hi90,p_qual_year2_lo90,p_qual_year2_hi90,p_qual_year3_lo90,p_qual_year3_hi90,p_qual_year4_lo90,p_qual_year4_hi90,p_qual_year5_lo90,p_qual_year5_hi90,p_played_h1_lo90,p_played_h1_hi90,p_qual_h1_lo90,p_qual_h1_hi90,e_qual_seasons_h1_lo90,e_qual_seasons_h1_hi90,e_qual_seasons_given_qual_h1_lo90,e_qual_seasons_given_qual_h1_hi90,p_played_h2_lo90,p_played_h2_hi90,p_qual_h2_lo90,p_qual_h2_hi90,e_qual_seasons_h2_lo90,e_qual_seasons_h2_hi90,e_qual_seasons_given_qual_h2_lo90,e_qual_seasons_given_qual_h2_hi90,p_played_h3_lo90,p_played_h3_hi90,p_qual_h3_lo90,p_qual_h3_hi90,e_qual_seasons_h3_lo90,e_qual_seasons_h3_hi90,e_qual_seasons_given_qual_h3_lo90,e_qual_seasons_given_qual_h3_hi90,p_played_h4_lo90,p_played_h4_hi90,p_qual_h4_lo90,p_qual_h4_hi90,e_qual_seasons_h4_lo90,e_qual_seasons_h4_hi90,e_qual_seasons_given_qual_h4_lo90,e_qual_seasons_given_qual_h4_hi90,p_played_h5_lo90,p_played_h5_hi90,p_qual_h5_lo90,p_qual_h5_hi90,e_qual_seasons_h5_lo90,e_qual_seasons_h5_hi90,e_qual_seasons_given_qual_h5_lo90,e_qual_seasons_given_qual_h5_hi90
00-0041562,Fernando Mendoza,QB,LVR,2026,1,1,22.0,scored,0.8956659930643829,0.9535563154017351,0.8565340604107967,0.866788872049108,0.8507360609007856,0.9765874668779416,0.8956659930643829,0.8956659930643829,1.0,0.999974502551111,0.9821633058208588,1.8492223084661181,1.8828053313604511,0.9999668785550269,0.9863052145808583,2.705756368876915,2.743325624641209,0.999954508448891,0.9920100266194221,3.572545240926023,3.6013196893791135,0.9999734985320377,0.9929118204202699,4.423281301826808,4.454858136299118,dg165_rookie_capital_v1,0.7955398646440138,0.9482829727482034,0.9135601989651085,0.9847144159340178,0.768689657703765,0.9290215505525534,0.7565740284503988,0.9331223031621927,0.7435683426770606,0.9240144884424776,0.9287071787648163,0.9961448040791223,0.7955398646440138,0.9482829727482034,0.7955398646440138,0.9482829727482034,1.0,1.0,0.9996118982583158,0.9999984778350576,0.961702194818003,0.995506419549281,1.753710296308541,1.9167274314547618,1.791574656832716,1.938830108934054,0.9993974913877163,0.999997618065247,0.9636928952288945,0.997933041852064,2.5452180281724877,2.8278014756876266,2.6028880246952473,2.8552567790668824,0.999409351130392,0.9999982046779731,0.9710770509249148,0.9989712802326067,3.3346210117629216,3.744400580525073,3.4084459528623774,3.7625576054357923,0.9995933361187626,0.9999984801047375,0.9736410692507648,0.999175385260279,4.157266339950541,4.638193179287474,4.203790459702788,4.667921823387717
00-0041027,Jeremiyah Love,RB,ARI,2026,3,1,21.0,scored,0.8920024945965435,0.9586069319048027,0.9010142315124958,0.9415595968836854,0.863497463648687,0.9845165378635813,0.8920024945965435,0.8920024945965435,1.0,0.9999433657470423,0.9899983714923803,1.8506094265013462,1.869305525939029,0.9999259010546634,0.9929720514051693,2.751623658013842,2.7710987979167983,0.9999359010828144,0.9935643342956056,3.6931832548975274,3.717105302009291,0.9999251747501757,0.9949437605391177,4.556680718546215,4.579837473504174,dg165_rookie_capital_v1,0.8084899539263437,0.9494110334951724,0.9110586782434237,0.9865971530843805,0.8019596477639909,0.9612061298136719,0.8836976252550732,0.9763699644363765,0.7472378753117985,0.9353174449995311,0.9531849721912823,0.9977529132997244,0.8084899539263437,0.9494110334951724,0.8084899539263437,0.9494110334951724,1.0,1.0,0.9997405102259562,0.9999923973116114,0.977672817457755,0.9969501068505756,1.761392539435903,1.911522380744916,1.7847623673284678,1.9276910491126613,0.999576381075842,0.9999901148546888,0.9823905369702273,0.9981019529374648,2.623136895367404,2.8494674568513356,2.6604482086536696,2.8604466825126025,0.9996145306602809,0.9999887266822056,0.9838668767156545,0.9983536702131527,3.53543839467925,3.797738065499764,3.5805073098656965,3.8163806893946086,0.9995632671585364,0.999987624863814,0.9866220663187266,0.998678434507719,4.352581489543883,4.687074972745729,4.379924829553974,4.705452469928447
00-0041438,Carnell Tate,WR,TEN,2026,4,1,21.0,scored,0.7901834887146754,0.7683223379550158,0.8278858678970039,0.8505534908862931,0.7308022557054821,0.9905343713373167,0.7901834887146754,0.7901834887146754,1.0,0.9998855999721741,0.9058246607987378,1.5585058266696912,1.7205380843743339,0.9998764166217644,0.9439532441322823,2.386391694566695,2.5280825182823086,0.9998843360931118,0.9405237867165952,3.236945185452988,3.4416409570599895,0.9998688312735271,0.9488411986996365,3.96774744115847,4.181677025192593,dg165_rookie_capital_v1,0.6787523147801297,0.8708241217628973,0.6778150886596189,0.8579835315779292,0.7373436321038878,0.8970728159666918,0.7797134931071718,0.9144744508044794,0.6313825550434536,0.8195823732620574,0.958977618791094,0.9982642106544043,0.6787523147801297,0.8708241217628973,0.6787523147801297,0.8708241217628973,1.0,1.0,0.9994571272594657,0.9999806039041976,0.8296213838878789,0.9551959217122193,1.3825693038421356,1.7038365281524595,1.6120229804426283,1.817611292516733,0.9993349244703356,0.999981015315125,0.8977420362545432,0.9769750032263206,2.1394459008300544,2.56885439371987,2.356332600177557,2.6663981595561257,0.9995326134421368,0.9999757573751159,0.8897110435439425,0.9763007515600478,2.9385040149017847,3.459538037076308,3.2456349094784556,3.6209853879158977,0.9994173073526386,0.9999775311463858,0.8990625735811023,0.9829458248695028,3.644113862034902,4.255422394880034,3.9407592173417423,4.4252525538310525
00-0041029,Jordyn Tyson,WR,NOR,2026,8,1,22.0,scored,0.7043917952874396,0.6935976743918008,0.750388017714473,0.7380051472412781,0.6016577301560966,0.9860564221632434,0.7043917952874396,0.7043917952874396,1.0,0.9995959793790703,0.8422039667287237,1.3979894696792403,1.6599179354489275,0.9995545313690376,0.8953333264687178,2.1483774873937134,2.399528113029283,0.9995795808786861,0.8900111138812911,2.8863826346349915,3.2430860577095837,0.9995359249108884,0.9021144939043626,3.488040364791088,3.866516266349747,dg165_rookie_capital_v1,0.6075546646326659,0.7823397461546071,0.6098442416047233,0.7775083089057203,0.6597229452644924,0.8266778686062921,0.6606745514706845,0.8181582185640142,0.5180812755526031,0.6927055419559001,0.9588407823130091,0.995995144078775,0.6075546646326659,0.7823397461546071,0.6075546646326659,0.7823397461546071,1.0,1.0,0.9986511197882978,0.9998988713238863,0.7754534883286764,0.9030497748099793,1.2581733167815514,1.5357062025256407,1.572698700236191,1.7560276277172548,0.9983519187127028,0.9998992411120762,0.8428290529053263,0.9445224550934589,1.9412225256456057,2.320825213479042,2.2676073097931293,2.5320496272893225,0.9987904058586303,0.9998842495087567,0.8365184602804203,0.9388098609352422,2.6209806163921736,3.1148841650395496,3.0610312600453953,3.4299030907694523,0.9984684552656437,0.9998782919565347,0.8410535043604084,0.9540149077694312,3.1702975983995643,3.7764243767873262,3.6683903664074724,4.102209460016703
00-0041568,Ty Simpson,QB,LAR,2026,13,1,23.0,scored,0.644033663732078,0.7596563197311469,0.5742942026827271,0.5531694940490589,0.4691264152496891,0.9312305230126487,0.644033663732078,0.644033663732078,1.0,0.9975664637847294,0.837098657719547,1.403689983463225,1.676851313185958,0.9974335941348843,0.8641608315111209,1.9779841861459522,2.2889074741875723,0.9971395296189192,0.9051591991202422,2.531153680195011,2.7963629852683742,0.997985631041777,0.908693160514385,3.0002800954447,3.301752699168912,dg165_rookie_capital_v1,0.5535558483520492,0.7263736166696052,0.6960961083335437,0.8298964613486233,0.50120749352372,0.6569093107143901,0.4603749889739992,0.6386554702354987,0.37998732028532234,0.5611115319580736,0.8964394317293368,0.9657116511028039,0.5535558483520492,0.7263736166696052,0.5535558483520492,0.7263736166696052,1.0,1.0,0.9922731890399886,0.9991963373799174,0.7734098984099602,0.8979348241539977,1.2840108504825836,1.5283078186084458,1.5626116917800599,1.7534189682711907,0.9907146902802384,0.9991883336220818,0.7991376115536927,0.9302819897154448,1.8270184536021856,2.135872009444749,2.1442942754727623,2.442240803553449,0.9908298368667328,0.9992966969232836,0.8501234293480177,0.95599088426071,2.3000445689082354,2.7594096701010815,2.59226547213905,2.9830898847662923,0.9930179388490746,0.9994091380769848,0.8525288654674134,0.9579864630381206,2.7220083764548546,3.259171464166994,3.0511033649697326,3.5409980522634097
00-0041032,Kenyon Sadiq,TE,NYJ,2026,16,1,21.0,scored,0.4974561220359224,0.7759047981289654,0.7734823392142008,0.755129624472402,0.64138502644495,0.9884968385739272,0.4974561220359224,0.4974561220359224,1.0,0.9989964544306446,0.8429366741244984,1.2733609201648877,1.5106246521868822,0.999107489697943,0.9176317598393403,2.0468432593790884,2.2305715091394083,0.9995584189183165,0.9336527894158785,2.8019728838514903,3.0010866090856854,0.9995556647954342,0.9382491608684025,3.4433579102964402,3.6699824032983077,dg165_rookie_capital_v1,0.3869578647557296,0.6336643559087318,0.6751887109789333,0.8698546346665135,0.6831044629875413,0.8618501917455034,0.6598061912973926,0.8357540052788482,0.5294870137990787,0.7424731933813714,0.9773301285360042,0.9945295611871829,0.3869578647557296,0.6336643559087318,0.3869578647557296,0.6336643559087318,1.0,1.0,0.9974336427761029,0.9996832600036936,0.7651967642982282,0.9064041873203643,1.122468339454489,1.4686551625052922,1.383979882145081,1.675712472015846,0.9976745412835287,0.9997142225753898,0.8839329604185426,0.9521709818820111,1.8502173727731352,2.280292860390765,2.0406041864516054,2.4489553761685294,0.999135948776777,0.9997857123741324,0.8993443439243101,0.9609803932638364,2.5635016521933296,3.058354630923902,2.8046896165759936,3.2335741765928296,0.999076542108252,0.9997870391949961,0.9080982832604779,0.9661064062992922,3.153213845004659,3.736794698402434,3.4169975626067854,3.9476907562628396
00-0040867,Makai Lemon,WR,PHI,2026,20,1,22.0,scored,0.5912039660779734,0.6194550611600234,0.6603077614057288,0.5962539142610424,0.4729433843358084,0.9783192096127283,0.5912039660779734,0.5912039660779734,1.0,0.9981612920444749,0.7450716464796667,1.210659027237997,1.6248894089020152,0.9980691895092678,0.810606839262227,1.8709667886437256,2.308106344558583,0.9981375527461018,0.8108250845604027,2.467220702904768,3.042851966330565,0.9981069788548265,0.825761533022268,2.9401640872405763,3.5605486204711476,dg165_rookie_capital_v1,0.536007102495771,0.6498228438302268,0.5603414154897768,0.6783901110182673,0.6043412019196281,0.7192898830472895,0.5394451278279146,0.6502633999024694,0.4107918042712421,0.5415838316308824,0.9593177407199447,0.9896436143477491,0.536007102495771,0.6498228438302268,0.536007102495771,0.6498228438302268,1.0,1.0,0.9961120451825581,0.9992145451742274,0.6944816858974011,0.7977725854435332,1.1137046647380735,1.299024539554242,1.5551609322212894,1.692851073492881,0.9956453712000544,0.9992232972529619,0.7649474994926753,0.8600967254203115,1.7284127654806718,2.013543637466757,2.219009874533554,2.3993493401306245,0.995821724929999,0.9991953929198231,0.7611300164400768,0.8622055978350952,2.2793032241847877,2.6525808302789553,2.906877391516011,3.1645251901586935,0.9956985155232881,0.9991810958366786,0.7694829979482645,0.8800980761385607,2.69501974137967,3.1549451599143565,3.4065657826001856,3.720665738709672
00-0041547,KC Concepcion,WR,CLE,2026,24,1,21.0,scored,0.5865129733178455,0.6350721944550513,0.6721904832783965,0.6168564422134593,0.49511920308907864,0.9775118802717181,0.5865129733178455,0.5865129733178455,1.0,0.997783688665924,0.7476418880529212,1.2215851677728966,1.6339175042134981,0.9978232950105794,0.8130309074638733,1.893775651051293,2.329278793297833,0.9978740412889565,0.8202766667856412,2.5106320932647526,3.0607137749059534,0.9979481622063852,0.8347693024598959,3.0057512963538313,3.6006969680083967,dg165_rookie_capital_v1,0.5267398957230774,0.6484468961896724,0.5807200446710841,0.6918012690664249,0.61319018121567,0.7339121425888634,0.5580089232909318,0.6747400693696,0.42887974511205434,0.5652499433488851,0.9622689940122312,0.9882175654648726,0.5267398957230774,0.6484468961896724,0.5267398957230774,0.6484468961896724,1.0,1.0,0.9956862554024689,0.9989016342167895,0.6937841971092856,0.8000023319077003,1.1207421560543787,1.3267466293131611,1.5774837136579751,1.6991398718063058,0.9951769893155256,0.9989363641738834,0.7663667440367663,0.8596589317010894,1.7565030424469972,2.037960679988436,2.234638097146596,2.4184452701946966,0.995768060538972,0.9990018184386198,0.7726147405808041,0.8674296188508335,2.3298613838075086,2.6922588194617036,2.9319100695788904,3.1901506957793715,0.9958269999460982,0.9990704788736877,0.7903731254707147,0.8836345030223549,2.792720177346273,3.250495862489312,3.435944182545817,3.7722615997198643
00-0041511,Omar Cooper Jr.,WR,NYJ,2026,30,1,22.0,scored,0.5369267957772417,0.5845101630813809,0.6157920786176044,0.5260098717366403,0.4161131807836027,0.973675999752735,0.5369267957772417,0.5369267957772417,1.0,0.9964087671332584,0.6912587700813259,1.1214369588586226,1.622311364999661,0.9963093598051397,0.7590614607559745,1.7372290374762271,2.2886539856022505,0.9964054514391406,0.7638994527539729,2.2632389092128675,2.9627445091805598,0.9964770950667872,0.7792991184541305,2.6793520899964705,3.4381561925944575,dg165_rookie_capital_v1,0.48714464953125364,0.5949195548036228,0.5267162944245943,0.6360371138751718,0.5591619080825418,0.6716856888561565,0.47217757539121824,0.5820625836955583,0.3566515131118895,0.47191350031727625,0.9593984840695642,0.9842135829609914,0.48714464953125364,0.5949195548036228,0.48714464953125364,0.5949195548036228,1.0,1.0,0.9935023661625767,0.9981414438797733,0.6421752826496144,0.7387347125056845,1.028106085168291,1.2097924992319375,1.5512101583223203,1.680564701946424,0.9931275477930741,0.9980694835749123,0.7077143966717651,0.8031401661363103,1.621203927009196,1.847460749477141,2.198260904421165,2.3875994179846263,0.993376113854851,0.9981168639855936,0.7103314827237663,0.8104077977395613,2.1076124010430446,2.4132679065025315,2.836656921154406,3.0952599932346407,0.9932348782149366,0.9982417058097441,0.7250845545880166,0.8265550917952537,2.4855909931136537,2.866270509594508,3.2822768105293667,3.6035194408614752
00-0041512,Jadarian Price,RB,SEA,2026,32,1,22.0,scored,0.6704905605768003,0.7537747639265805,0.6696632889099127,0.5979762678161166,0.45183205826211315,0.9669455005487994,0.6704905605768003,0.6704905605768003,1.0,0.9959112671520228,0.8632317222894015,1.4242653245033807,1.6499223646763652,0.9950854287964689,0.8844203620854275,2.0939286134132935,2.367571692352146,0.9954570995908226,0.8955720256069345,2.69190488122941,3.005793843778327,0.9953717812783079,0.9047295125021606,3.1437369394915233,3.474781021343123,dg165_rookie_capital_v1,0.6044877665668276,0.7372422980300751,0.6949766527783685,0.8086435414772981,0.614384760577176,0.7410587102867532,0.5328477709484898,0.6670743989401821,0.3837620239063466,0.5285562252478595,0.9499676516728087,0.9817754420397311,0.6044877665668276,0.7372422980300751,0.6044877665668276,0.7372422980300751,1.0,1.0,0.9929131044048974,0.9980442543034544,0.8273291289196779,0.900468603215602,1.3347578685972408,1.512553590564716,1.5734833186748851,1.7203583098467587,0.9910508599579732,0.9975918183757765,0.8498425962135876,0.917693637302704,1.9732585756065173,2.216263593404698,2.275692276520199,2.465799931112461,0.9913898459711789,0.9976975088585152,0.8620366392635068,0.923643869339227,2.530693120844946,2.852068328720609,2.870061431942693,3.134659498163123,0.9912390208082299,0.9976655330889773,0.8753765915024289,0.9345083558332755,2.9503017565030683,3.3340293928460474,3.3125035519741615,3.663815933365097
