player_id,position,feature_season,forecast_cutoff,arm,identity_status,forecast_season_year1,p_appear_year1,e_points_year1_given_appear,e_games_year1_given_appear,e_points_year1,e_games_year1,forecast_season_year2,p_appear_year2,e_points_year2_given_appear,e_games_year2_given_appear,e_points_year2,e_games_year2
00-0023459,QB,2025,post-2025-season,recent_production_3col,resolved,2026,0.8542625191097375,176.51029739414815,10.840714802445142,150.78613130073393,9.260816336087007,2027,0.5355582239329395,179.89010674196646,11.730649650662812,96.34162606983446,6.282445892488533
00-0026158,QB,2025,post-2025-season,recent_production_3col,resolved,2026,0.8074034510596506,123.64182959287352,8.78139789900029,99.82883990861532,7.090130968780799,2027,0.5016300705049284,118.65539412774822,9.371870439131964,59.5211137220924,4.701212029144821
00-0026498,QB,2025,post-2025-season,recent_production_3col,resolved,2026,0.9354854989260016,282.42428652184384,14.352480643547313,264.20382458570714,13.426537515654639,2027,0.8254643716614893,307.9219279910067,14.779224780520867,254.17858080989075,12.19972349709657
00-0027973,QB,2025,post-2025-season,recent_production_3col,resolved,2026,0.5479428596936919,2.024845373649571,2.9340178963637538,1.109499564475088,1.6076741565260255,2027,0.2780266574883441,5.658081749482171,3.1865257992526397,1.5730975566043301,0.8859391169665856
00-0028118,QB,2025,post-2025-season,recent_production_3col,resolved,2026,0.7399709807062088,57.53164113715715,5.821317782311427,42.57174491389984,4.307606228379479,2027,0.5080579053415873,48.99352475880906,5.758056571054529,24.891547564261728,2.925426160328327
00-0029263,QB,2025,post-2025-season,recent_production_3col,resolved,2026,0.7009173520265259,45.02700675544419,5.333659274177252,31.560210344706437,3.738454335068042,2027,0.44264939889491195,40.565338217530005,5.405054399544392,17.956222577958457,2.392544080952624
00-0029604,QB,2025,post-2025-season,recent_production_3col,resolved,2026,0.7919900809370447,94.27224000874178,7.557620708814907,74.6626789946399,5.985560636865803,2027,0.5405668357322597,85.35754351366079,7.78555514912131,46.14145720305828,4.208612911379508
00-0030565,QB,2025,post-2025-season,recent_production_3col,resolved,2026,0.8765445408267006,152.43590982914773,10.21544237947949,133.61686458669064,8.954290249862469,2027,0.6934151295477303,142.07252295070813,10.540838204625395,98.51523690703817,7.309176689201983
00-0032268,QB,2025,post-2025-season,recent_production_3col,resolved,2026,0.8640634904406459,119.09047545308883,8.584696198822176,102.901731898232,7.417722561926834,2027,0.7328192100088656,103.45071125926984,8.359367859906808,75.81066849987339,6.125905351270409
00-0032950,QB,2025,post-2025-season,recent_production_3col,resolved,2026,0.8165428086718105,80.99133335703262,6.694319625994975,66.1328908174263,5.466198549556761,2027,0.6705521063439916,60.167859326346374,6.193252820839042,40.34568480549054,4.152898724134488
