gsis_id,name,position,team,draft_season,pick,round,age_at_draft,coverage_status,p_qual_year1,p_qual_year2,p_qual_year3,p_qual_year4,p_qual_year5,p_qual_year6,e_ppg_given_qual_year1,e_ppg_given_qual_year2,e_ppg_given_qual_year3,e_ppg_given_qual_year4,e_ppg_given_qual_year5,e_ppg_given_qual_year6,p_played_h1,p_qual_h1,e_qual_seasons_h1,e_qual_seasons_given_qual_h1,p_played_h2,p_qual_h2,e_qual_seasons_h2,e_qual_seasons_given_qual_h2,p_played_h3,p_qual_h3,e_qual_seasons_h3,e_qual_seasons_given_qual_h3,p_played_h4,p_qual_h4,e_qual_seasons_h4,e_qual_seasons_given_qual_h4,p_played_h5,p_qual_h5,e_qual_seasons_h5,e_qual_seasons_given_qual_h5,p_played_h6,p_qual_h6,e_qual_seasons_h6,e_qual_seasons_given_qual_h6,model_version,p_qual_year1_lo90,p_qual_year1_hi90,p_qual_year2_lo90,p_qual_year2_hi90,p_qual_year3_lo90,p_qual_year3_hi90,p_qual_year4_lo90,p_qual_year4_hi90,p_qual_year5_lo90,p_qual_year5_hi90,p_qual_year6_lo90,p_qual_year6_hi90,e_ppg_given_qual_year1_lo90,e_ppg_given_qual_year1_hi90,e_ppg_given_qual_year2_lo90,e_ppg_given_qual_year2_hi90,e_ppg_given_qual_year3_lo90,e_ppg_given_qual_year3_hi90,e_ppg_given_qual_year4_lo90,e_ppg_given_qual_year4_hi90,e_ppg_given_qual_year5_lo90,e_ppg_given_qual_year5_hi90,e_ppg_given_qual_year6_lo90,e_ppg_given_qual_year6_hi90,p_played_h1_lo90,p_played_h1_hi90,p_qual_h1_lo90,p_qual_h1_hi90,e_qual_seasons_h1_lo90,e_qual_seasons_h1_hi90,e_qual_seasons_given_qual_h1_lo90,e_qual_seasons_given_qual_h1_hi90,p_played_h2_lo90,p_played_h2_hi90,p_qual_h2_lo90,p_qual_h2_hi90,e_qual_seasons_h2_lo90,e_qual_seasons_h2_hi90,e_qual_seasons_given_qual_h2_lo90,e_qual_seasons_given_qual_h2_hi90,p_played_h3_lo90,p_played_h3_hi90,p_qual_h3_lo90,p_qual_h3_hi90,e_qual_seasons_h3_lo90,e_qual_seasons_h3_hi90,e_qual_seasons_given_qual_h3_lo90,e_qual_seasons_given_qual_h3_hi90,p_played_h4_lo90,p_played_h4_hi90,p_qual_h4_lo90,p_qual_h4_hi90,e_qual_seasons_h4_lo90,e_qual_seasons_h4_hi90,e_qual_seasons_given_qual_h4_lo90,e_qual_seasons_given_qual_h4_hi90,p_played_h5_lo90,p_played_h5_hi90,p_qual_h5_lo90,p_qual_h5_hi90,e_qual_seasons_h5_lo90,e_qual_seasons_h5_hi90,e_qual_seasons_given_qual_h5_lo90,e_qual_seasons_given_qual_h5_hi90,p_played_h6_lo90,p_played_h6_hi90,p_qual_h6_lo90,p_qual_h6_hi90,e_qual_seasons_h6_lo90,e_qual_seasons_h6_hi90,e_qual_seasons_given_qual_h6_lo90,e_qual_seasons_given_qual_h6_hi90
00-0041562,Fernando Mendoza,QB,LVR,2026,1,1,22.0,scored,0.8931072408917681,0.9527761002555715,0.8559832582250801,0.8664771149813807,0.849963736756249,0.6659249001025994,13.702803326180454,15.741491732809664,16.0833780331322,15.366797775986536,15.620747249312066,15.66957083989176,0.9752753976870794,0.8931072408917681,0.8931072408917681,1.0,0.999914833599365,0.9815156769817708,1.8458833411473394,1.8806458057028284,0.9998719171089484,0.9855492470880327,2.7018665993724196,2.741483094178732,0.9998791320136915,0.9912430415107818,3.5683437143538,3.5998676055422147,0.9999263099697931,0.9920219572903933,4.418307451110049,4.453840379882523,0.9999455245987586,0.99537815925731,5.084232351212648,5.1078399741121405,dg165_rookie_capital_v1,0.7943515056506733,0.9491674523063878,0.9127257499893978,0.9839624645343262,0.7667040885243425,0.9283750350477982,0.7542998825242024,0.9318841201915855,0.7424464589612624,0.9235967827946434,0.5312929063466202,0.7948839756085382,12.334258835963931,14.905425950671162,14.610099402264343,16.73267209102984,14.922403795871368,17.1785929154043,14.403306170175057,16.316435227924078,14.105100957165908,16.92199487797845,14.259363702172546,16.68315067501609,0.9267777422010391,0.9960876008621578,0.7943515056506733,0.9491674523063878,0.7943515056506733,0.9491674523063878,1.0,1.0,0.9991046901245144,0.9999943980210162,0.9604637226082702,0.9954629825415738,1.7534307708932735,1.917032960491335,1.793575898750004,1.9400657480208237,0.9985759719826717,0.9999908422051231,0.9617202690331197,0.997724802658233,2.5410709689063657,2.827720305687705,2.5986199624446487,2.8571866180310708,0.9988060522529962,0.9999933571108317,0.9690663164543027,0.9988907482199101,3.3283836928845427,3.7443755599333124,3.404761139180401,3.761916383601379,0.9990012092409917,0.9999945462443697,0.972246180305874,0.9990165070070984,4.1483235832417495,4.6369782585086305,4.202286079811714,4.6621000138093205,0.9992628863745215,0.9999968478064325,0.98104987545176,0.999274945364685,4.730575117462001,5.352704479283446,4.763227699701679,5.373840322542127
00-0041027,Jeremiyah Love,RB,ARI,2026,3,1,21.0,scored,0.8882523590359239,0.9567654433813556,0.8969733848292009,0.9369809961745259,0.855196124462819,0.7635998962131553,16.035916111576523,16.87604070673529,19.090959274297735,15.828441679278477,17.25047213348407,16.29306441437703,0.9842446517706743,0.8882523590359239,0.8882523590359239,1.0,0.9999196205578889,0.9889895092668284,1.8450178024172796,1.8655585171829114,0.9998885243184422,0.9921156218383306,2.7419911872464806,2.763781888814265,0.9999079654337438,0.99275462874864,3.6789721834210063,3.7058222413511426,0.9998955116768565,0.9942721267614385,4.534168307883825,4.560289065582681,0.9999209248794168,0.9947324592236926,5.297768204096981,5.325822189648316,dg165_rookie_capital_v1,0.8010062356070647,0.9459021679023848,0.9051075266004167,0.9852979151242508,0.7930608601147191,0.9589414877984465,0.8760907115669262,0.9737473488209458,0.742024987537361,0.930972852083662,0.6285765404318205,0.869322701329461,14.495674915891753,17.723952300042534,15.327053476270539,18.808162124079495,17.237857431759437,21.339926245080676,13.829009911297396,17.88789341605129,16.056014129798402,18.634100629826754,14.669329348016626,18.523180113623784,0.9519283193304151,0.9974387625269993,0.8010062356070647,0.9459021679023848,0.8010062356070647,0.9459021679023848,1.0,1.0,0.9994928153214132,0.999988414832057,0.9752414663531901,0.9965611825504181,1.746984248458787,1.906813742666376,1.7780216307998704,1.9246994492149423,0.9993389936023909,0.999982435276196,0.979912559065745,0.9979597322448596,2.603465435100305,2.8415918529703483,2.6511555263355557,2.8538694040641417,0.9993700961338688,0.9999872417460058,0.9820429882106495,0.9981452378280541,3.521591227869746,3.7884869060986732,3.563039379315367,3.804554786074486,0.9993082662777936,0.9999850404305234,0.9857016860651723,0.9985241259011023,4.3180001069205485,4.669633805048505,4.35893140926881,4.689865624830745,0.9994818899365002,0.9999887327468795,0.9842882411112337,0.9986969855223004,4.997210938816943,5.515251538974983,5.039743725985265,5.539156078197445
00-0041438,Carnell Tate,WR,TEN,2026,4,1,21.0,scored,0.7906039379181877,0.7698924304150813,0.8246765226202443,0.8489726993316559,0.7316641229910851,0.6818163024431445,12.485102864505366,14.773143825872454,15.076982120902688,14.390247149942649,16.020439489586405,13.851071465371263,0.9911407512773731,0.7906039379181877,0.7906039379181877,1.0,0.99981451909494,0.9054763890079696,1.5604963683332689,1.7233981882652207,0.9997964194942482,0.9437308210680091,2.385172890953513,2.5273868752683533,0.999829631481614,0.9408623548982197,3.234145590285169,3.4374269237661563,0.9998081838126711,0.9493078029969206,3.965809713276254,4.177580444147175,0.9998449620588598,0.9512219336583583,4.647626015719399,4.885953373514876,dg165_rookie_capital_v1,0.6782489523534898,0.8698020003647493,0.6759777795158668,0.8553477242892755,0.735828745928187,0.8951493542319597,0.7771633777055403,0.9161541694134524,0.6292992707533855,0.8182103667758421,0.564928416436939,0.7771801421381592,11.536025813896646,13.563290859674034,13.78732839873499,15.76651010859371,14.031325443787082,16.327833505220728,13.051963875044335,15.776668644218667,14.578046366022209,17.684897478743775,11.843209141900253,15.566705024764152,0.9617083708486455,0.9983843885095749,0.6782489523534898,0.8698020003647493,0.6782489523534898,0.8698020003647493,1.0,1.0,0.9992638171106974,0.9999636595553865,0.827351440549071,0.9553916040806594,1.380540158317762,1.7054194534096352,1.609815746449963,1.8156131442530574,0.9990195333915259,0.9999546467476409,0.8946022129944805,0.9777412108415793,2.134513956571724,2.568512971942359,2.350584515277439,2.667854572419277,0.9992878883668814,0.9999660315009323,0.8900976984789974,0.9759069132515203,2.9335639027783156,3.457145913733925,3.2484291112467356,3.6194534803848994,0.9992048748801999,0.9999641155226677,0.8983662015886137,0.9820164127876352,3.629755171120166,4.244861669307257,3.9374085116184614,4.422583696098433,0.9993432181143405,0.9999737821586946,0.8919934708230277,0.9829919032613236,4.25213162271727,4.999595978235243,4.582384411634489,5.224304900464686
00-0041029,Jordyn Tyson,WR,NOR,2026,8,1,22.0,scored,0.7069752534796926,0.6978238241849725,0.7502462405755349,0.7392341747541115,0.6065007286374822,0.5516042268222262,11.840879590354945,13.216297821823073,14.000334090641605,13.428193782588373,14.773212777587235,13.44713713359797,0.9874267156575478,0.7069752534796926,0.7069752534796926,1.0,0.9994474455941053,0.8442359685646503,1.404799077664665,1.6639886595368243,0.9993938311157784,0.8969822538210728,2.1550453182402,2.4025506737283586,0.9994734815343738,0.8927720359318174,2.894279492994311,3.241902049467141,0.9994180485079319,0.9050483490143718,3.5007802216317936,3.868058789836213,0.9994985900194002,0.9089127156039251,4.05238444845402,4.458496815903188,dg165_rookie_capital_v1,0.60891861609851,0.7839026001913645,0.6105317868651259,0.7801728880494856,0.6618560972806081,0.8287192011431354,0.6606716711846892,0.8200001456810514,0.5237320111587993,0.6986590303266104,0.45560605835729984,0.6449522637133498,11.193413403034869,12.55121870734849,12.50171645643648,13.88353521492395,13.249943864429328,14.84156321276031,12.5601571129385,14.374237519458717,13.682462439677911,15.86509429559634,11.9398411204777,14.649242365906648,0.9628114683020762,0.9963439393165828,0.60891861609851,0.7839026001913645,0.60891861609851,0.7839026001913645,1.0,1.0,0.9984083775430679,0.9998350273217969,0.7778002823269257,0.9049963649739834,1.2617147667129844,1.5399147997720661,1.57480428830558,1.7573222857709778,0.9980884913734914,0.9998169331629763,0.8443125375527027,0.9458440310632655,1.94482761512709,2.3315879154195467,2.2681273696128663,2.539100400310833,0.9985173214686317,0.9998322549537192,0.8374207733078235,0.9393014882368682,2.6277379845419895,3.128323388572967,3.060874652084573,3.4194400294802976,0.9982930736482835,0.9998213136844841,0.8446502109391857,0.9563393697081407,3.1744601306472986,3.783161919118384,3.6654791848723325,4.102157712643153,0.9985113260532322,0.9998528926345879,0.8435323701235912,0.9565379228474706,3.660815885298905,4.418099476143103,4.19066672474634,4.767277649810647
00-0041568,Ty Simpson,QB,LAR,2026,13,1,23.0,scored,0.6427396235659676,0.759693158085827,0.5779267853212966,0.5571671250577419,0.47256868829529175,0.4204563444643172,12.163370649003468,13.74173413328158,14.623355078281929,14.53767884322526,14.699720570383692,15.047204463339531,0.9318585687281303,0.6427396235659676,0.6427396235659676,1.0,0.9957530659055197,0.8368849209868425,1.4024327816517945,1.6757773338753268,0.995198691577844,0.8633800986390834,1.9803595669730911,2.29372853288449,0.9953716921722655,0.9028984407513391,2.5375266920308333,2.810423163339669,0.996531510108005,0.9056880849163306,3.010095380326125,3.3235453026901687,0.9967873309535952,0.9277752358748342,3.4305517247904422,3.697610792074705,dg165_rookie_capital_v1,0.5531165880829662,0.7289473651067809,0.6969432448710654,0.8302125084938184,0.504622893595022,0.6592934385578002,0.4630524861790337,0.6393751412749469,0.38132608611132474,0.5623694179297807,0.34164378249475147,0.49955979971997583,11.473886222378777,12.993184011383036,13.019192306125321,14.394569303960795,13.923532037556303,15.382947963209723,13.769799402348735,15.398724729075122,13.756282366955997,15.692919362251638,14.057840815832984,16.08343584370074,0.8960376166917713,0.9652649193519645,0.5531165880829662,0.7289473651067809,0.5531165880829662,0.7289473651067809,1.0,1.0,0.987759481606774,0.9987455358268402,0.7715127916647446,0.8976200095360067,1.2858771537454872,1.527026052181294,1.5672433684457245,1.755050722730647,0.9876348009815982,0.9984005135064539,0.7999115370698299,0.9296890975319736,1.822265417415797,2.14246078161637,2.1534657357612446,2.448767029534405,0.9872584417958084,0.9986881412174118,0.8444610029137415,0.9557535556713465,2.3129324041192993,2.7642098625188587,2.6070027545379126,2.9964933838205376,0.9891998060219657,0.998873870126918,0.8513069926104958,0.9568067650230202,2.725673049856183,3.2778779084337923,3.0813866018988296,3.557557564614229,0.9889820751472922,0.9989745319061205,0.8772313877387804,0.9652631590414918,3.1055100181019406,3.7605714334720224,3.40969166101412,4.014077374987362
00-0041032,Kenyon Sadiq,TE,NYJ,2026,16,1,21.0,scored,0.5053027680083939,0.771040748196849,0.771024438580224,0.7533274646240754,0.6403774032131506,0.5225200640091076,9.656803117212617,11.021636675754205,10.88278211305769,11.254743913994368,11.980328785938436,12.039860594174664,0.9895302517540399,0.5053027680083939,0.5053027680083939,1.0,0.9989419151554071,0.8404811134673336,1.2763435162052428,1.518586790058608,0.9990600053407249,0.9163269299407846,2.0473679547854666,2.2343204023456704,0.9994609854675895,0.9330346013321941,2.800695419409542,3.0017058482190127,0.9994464998205578,0.9373717083153718,3.4410728226226928,3.6709800307574136,0.9994562446082347,0.950737028588999,3.9635928866318,4.168968671089018,dg165_rookie_capital_v1,0.3855569991756522,0.6316887481439882,0.6739703772775694,0.8686646774507137,0.6802967806749396,0.859257864836464,0.6560359417590932,0.8335905791854104,0.5302691487514074,0.7400235432564036,0.4051052316423581,0.6441852141513611,8.593012794154088,10.45956780484928,10.187757471273926,11.862866526848823,10.142787537835208,11.678733113653598,10.111215466743515,12.481954470662316,11.045770486734483,13.081146181588494,11.046247362785985,13.663958457526467,0.9790807524916751,0.9952548498450193,0.3855569991756522,0.6316887481439882,0.3855569991756522,0.6316887481439882,1.0,1.0,0.9968873503642828,0.9996192197402417,0.7647891514917433,0.9025426248256139,1.1186968154766332,1.4664905233148482,1.3850869497901581,1.6746516625461076,0.9971773106479372,0.9996767600786978,0.8796580964090528,0.9511370317337787,1.8515106281497524,2.2777610869577227,2.037105703864834,2.4494790386730694,0.9988964777088554,0.9997619184707038,0.8967735997038785,0.9591719267500485,2.5554564763059386,3.0554867326149298,2.806791517957017,3.224501515064151,0.9988853498783435,0.9997521940849948,0.9034659705610968,0.9654692136803815,3.13903171310613,3.729807188466068,3.4126499919645172,3.941214770838889,0.9988583471018017,0.9997572025243435,0.9246764938032038,0.9722099084983301,3.6755324995873515,4.274854766316745,3.9207237919186686,4.482689672216392
00-0040867,Makai Lemon,WR,PHI,2026,20,1,22.0,scored,0.5943150046019213,0.623716963990707,0.662657807226289,0.6002119474530798,0.47828586381226046,0.4587405500795569,11.081491463316242,12.332499762888705,13.258158440193597,12.988111727103583,13.991340814000695,13.130269459744216,0.9788718003163345,0.5943150046019213,0.5943150046019213,1.0,0.997446071609773,0.7488263071856835,1.2180319685926282,1.6265881111607334,0.9972728011184934,0.8139629497014812,1.8806897758189172,2.3105348671074712,0.9974588315201732,0.8151008028548902,2.480901723271997,3.0436747388576237,0.9973515523626529,0.8302281549666558,2.9591875870842577,3.5643064733249217,0.9974799963218598,0.8393772827501429,3.4179281371638144,4.0719807497830836,dg165_rookie_capital_v1,0.5387446750335144,0.6527465619024317,0.5646011588731317,0.6824944763263334,0.6079116778098056,0.7205474134672143,0.5438366531074711,0.6525144756675972,0.41649518974330085,0.5447630806766439,0.3917631844670607,0.5198871464836263,10.647098239878561,11.56605733962028,11.890518615606423,12.824702769514543,12.697457748666753,13.806497853778193,12.49945036174218,13.570439743697047,13.163513434710245,14.65278959885563,12.338652475147565,13.836739747617258,0.9607285472627194,0.9897262155408266,0.5387446750335144,0.6527465619024317,0.5387446750335144,0.6527465619024317,1.0,1.0,0.9947785010333483,0.9988006739510809,0.6979185136751135,0.7999770627789876,1.1207341511933138,1.306982990193724,1.5593974532624988,1.6957484220904675,0.9943786064421145,0.9987292860000535,0.768674572403275,0.8625119448890428,1.7379226819456437,2.0214525620898285,2.222149322704699,2.4029299296398126,0.9950393620293949,0.9987050722358762,0.7667786078781549,0.8653645085231271,2.2980735546240263,2.6697931602249545,2.910253833153322,3.1708473876503644,0.9947889590078942,0.9987379369981922,0.7749501327606763,0.8843287524635801,2.715103711064748,3.1723675861157625,3.4169360486366345,3.723151613088375,0.9948395662182117,0.9987850971398113,0.7871844233031143,0.8906892332101982,3.1228927652870313,3.6763997044502554,3.856114163468354,4.282673356850325
00-0041547,KC Concepcion,WR,CLE,2026,24,1,21.0,scored,0.5873410991466949,0.6362846378666293,0.6721118377861137,0.6185970968578496,0.49678813470626726,0.5083974239717243,11.000158381155703,13.0449221098871,13.625695751563587,13.529689291260174,14.491529018545517,13.23145300218058,0.9755276366720695,0.5873410991466949,0.5873410991466949,1.0,0.9962972950307698,0.7485297450539815,1.223625737013324,1.6347055612667474,0.9961443289934562,0.8136678091338606,1.8957375747994378,2.3298667509255737,0.9962987366387246,0.8210550243071525,2.5143346716572874,3.0623217655589032,0.9962846515051804,0.8354756605584357,3.011122806363555,3.6040820199967367,0.9963540349260396,0.8462681130471899,3.5195202303352793,4.158871374300526,dg165_rookie_capital_v1,0.5265249565242667,0.6492367458529557,0.5802751796668756,0.6937426131834665,0.6142786551293079,0.7332588010812726,0.5592525956833596,0.6756949044211648,0.43015612357767813,0.5663080275714929,0.43952387353396705,0.5748906525471823,10.449055498638169,11.654220883659395,12.527096126419224,13.652096884590685,13.035748110804256,14.24842729044099,12.9227286676942,14.183292497442523,13.680860428288652,15.146734189240435,12.41311715844893,13.980639906333897,0.9585250919280064,0.9869127964583333,0.5265249565242667,0.6492367458529557,0.5265249565242667,0.6492367458529557,1.0,1.0,0.9930115426247285,0.9980791894257759,0.6946986671574904,0.8013904653811784,1.1234433524193181,1.3282640115883053,1.5807266354632377,1.700474177144973,0.9926644492619631,0.9981448316283889,0.7674799098552695,0.8604372779355192,1.7596973259115172,2.038412805180349,2.239159056533848,2.418842339620512,0.9929726998740757,0.9981324825962546,0.7740807098870923,0.8671778436412839,2.3390913076678497,2.697532963587762,2.9382046850142736,3.1912314735192364,0.9926182711708298,0.9981906370821475,0.7912427554947579,0.88342543083619,2.805714439876201,3.260405286394135,3.4417940440018024,3.7850474290197536,0.9927109336480756,0.9981967883009131,0.8010158969298035,0.8927731910756775,3.25877797189311,3.8001686731155804,3.966390113826221,4.392852929936112
00-0041511,Omar Cooper Jr.,WR,NYJ,2026,30,1,22.0,scored,0.5401789399277163,0.588706119151989,0.619446450341465,0.5312271778968044,0.4214532726959195,0.41817295413045263,10.745456863909105,11.941412891608612,12.92974048301461,12.79337231525923,13.645356958424713,12.99005328035287,0.9734615881595007,0.5401789399277163,0.5401789399277163,1.0,0.9949798995913162,0.6959030410316713,1.1288850590797053,1.6221872768455519,0.9947031674918226,0.7634071503133913,1.7483315094211702,2.290169156397672,0.994908847059658,0.768902170441077,2.2795586873179747,2.964692746296082,0.9948298204773747,0.784473135401559,2.7010119600138944,3.443090449020017,0.9948603070785889,0.7969558332857428,3.119184914144347,3.913874249824313,dg165_rookie_capital_v1,0.49157326158652054,0.5987067616146932,0.5339623825356152,0.6391900300131039,0.5635967548479093,0.6756652611183233,0.4780601381262266,0.584400665504907,0.3612446210874396,0.4768516985121795,0.35651523661054224,0.471305088415632,10.267327213851281,11.274688267471513,11.483612350749485,12.503066050348117,12.390668684329624,13.536931137058032,12.332494384733465,13.344205856890452,12.809267275382515,14.297024232548926,12.283969454978473,13.657354809052386,0.9585333165153537,0.9843586115471855,0.49157326158652054,0.5987067616146932,0.49157326158652054,0.5987067616146932,1.0,1.0,0.9912933695635461,0.9971409501757931,0.6461953646544116,0.7429781479207679,1.0407026341902135,1.2176301854091522,1.5543056754371058,1.6814685259451996,0.9904953699312052,0.9971635907036761,0.7129363986718427,0.8083089592952467,1.6342919974033563,1.8550769977691797,2.2022888589621226,2.390732548515575,0.9909913413526377,0.9971276000241281,0.7170822900901548,0.8141734987712624,2.1254131886957106,2.4311396486632635,2.845221496044722,3.1023889047044357,0.9907018689273824,0.9972579141441453,0.7320712908958009,0.8301695535692276,2.5095964337939436,2.888768075292175,3.293742754364587,3.6092822658185164,0.9909294607774536,0.9971870348959441,0.7438108848520631,0.8419720236240972,2.8677595226759713,3.3475056207153235,3.703618808416403,4.121362160970503
00-0041512,Jadarian Price,RB,SEA,2026,32,1,22.0,scored,0.6729201145752308,0.7563468914487504,0.6751748789059859,0.6020292628618377,0.45666737459783097,0.43583499886634874,12.428435452037668,13.711682526709021,14.50052711462048,14.131748386392944,14.42483642301673,13.815985447903564,0.9670564038774816,0.6729201145752308,0.6729201145752308,1.0,0.9952410683228413,0.8638573874955563,1.4292670060239812,1.654517315835692,0.994266444067642,0.884711115768447,2.104441884929967,2.3786768894636077,0.9945444933545369,0.8959450722823523,2.7064711477918046,3.020800305198704,0.994306516697129,0.9048960447488963,3.1631385223896356,3.4955822171456052,0.9943279968558012,0.9097203093724302,3.598973521255984,3.956131883808039,dg165_rookie_capital_v1,0.6085912832461923,0.7414893968057469,0.699634296811509,0.8096504466928696,0.6177631726421873,0.7428384966912899,0.5363741133018854,0.6730704823156333,0.39229415745590246,0.537139796064222,0.36770496892734766,0.497772137430653,11.833874415146465,13.136785136072058,12.936080394337901,14.463644646221718,13.733157285652892,15.249838023414773,13.20861436484148,14.955261071907511,13.540967663449699,15.145868330053599,12.846960676300329,14.789144086629952,0.9501313848387072,0.9819204689508504,0.6085912832461923,0.7414893968057469,0.6085912832461923,0.7414893968057469,1.0,1.0,0.9910441906432699,0.9976107595946585,0.8278350574522836,0.9002210030587542,1.3423901125277962,1.5162286126513789,1.582882176853978,1.7231603011061445,0.9895968232337101,0.9972441765020441,0.8485577485857625,0.9208220233496497,1.985431059655388,2.2236769908249947,2.2870679988923706,2.4753808170975264,0.9897289408240952,0.9972290986421709,0.8612764077562656,0.924471998424301,2.557205058433913,2.8668110454613283,2.899234250023814,3.1482319449923413,0.9893451406017754,0.9970836125803458,0.8734580565383686,0.9337616920222532,2.9791390805094973,3.3585913553205287,3.330668204776085,3.6847711699189216,0.9892745061546799,0.997167494951458,0.8789872871955932,0.9375009694051466,3.372413155863819,3.8186246734373976,3.7421338556605304,4.182530718916354
