player_id,position,statline_position,position_source,forecast_cutoff,arm,role_evidence,listed_position,feature_season,identity_status,games_t,seasons_since_last_observed,p_appear_year1,e_points_year1_given_appear,e_games_year1_given_appear,e_points_year1,e_games_year1,forecast_season_year1,p_appear_year2,e_points_year2_given_appear,e_games_year2_given_appear,e_points_year2,e_games_year2,forecast_season_year2,p_appear_year3,e_points_year3_given_appear,e_games_year3_given_appear,e_points_year3,e_games_year3,forecast_season_year3,p_appear_year4,e_points_year4_given_appear,e_games_year4_given_appear,e_points_year4,e_games_year4,forecast_season_year4,p_appear_year5,e_points_year5_given_appear,e_games_year5_given_appear,e_points_year5,e_games_year5,forecast_season_year5
00-0022942,QB,QB,statline,post-2025-season,basic_cohort_3col_plus_lags,"{""statline_position"": ""QB""}",QB,2025,resolved,3,0,0.3971564881732079,45.480777643195545,4.656122026876748,18.062985928158092,1.849209072700288,2026.0,0.2029766394234235,42.82718880456529,4.407626419434794,8.692918859503129,0.8946451984507714,2027.0,0.08513837169606152,30.829931928494368,3.9458044050884995,2.6248102038924284,0.33593936208038155,2028.0,0.04317675435845526,20.66248418702624,3.1358255783372027,0.8921390041786982,0.13539477070682632,2029.0,0.02314348395548056,16.23233243638743,3.22171092988874,0.37567272530155915,0.07456161521507641,2030.0
00-0023459,QB,QB,statline,post-2025-season,basic_cohort_3col_plus_lags,"{""statline_position"": ""QB""}",QB,2025,resolved,17,0,0.9306174145833879,192.91031198179255,11.474478675798439,179.52569578297053,10.678349678963759,2026.0,0.8033033961137662,181.61706929007966,10.575471674846959,145.89360855295018,8.495312311909501,2027.0,0.6045875411801086,166.7960872806556,10.080300584731269,100.84283628747436,6.094424144879089,2028.0,0.46854814253295723,158.83414921133107,9.399819101220237,74.42144558377174,4.404267780022553,2029.0,0.3326112362036319,153.7599043007123,9.393755670594333,51.14227184801206,3.1244686861912583,2030.0
00-0024243,TE,TE,statline,post-2025-season,basic_cohort_3col_plus_lags,"{""statline_position"": ""TE""}",TE,2025,resolved,1,0,0.020419088874685815,0.0,3.3527602388209017,0.0,0.06846030929199683,2026.0,0.004251454717761383,0.0,2.543486777947667,0.0,0.010813518861669308,2027.0,0.0011724314558121097,0.0,1.5743926778320922,0.0,0.0018458674992906058,2028.0,0.0005138224750185891,0.0,1.596966090305287,0.0,0.0008205570690414222,2029.0,0.00024127975321000457,0.0,4.342105761132633,0.0,0.0010476622064578207,2030.0
00-0026158,QB,QB,statline,post-2025-season,basic_cohort_3col_plus_lags,"{""statline_position"": ""QB""}",QB,2025,resolved,13,0,0.8409090179234161,137.14322694173893,9.130482078580982,115.32497628242587,7.677904717866885,2026.0,0.6739732880479705,127.45745919742261,8.20307678271223,85.90292286152696,5.528654631354529,2027.0,0.39149095872605616,113.6358578596776,7.879057594340502,44.487410939143025,3.0845798114661767,2028.0,0.29928659594030804,105.14259876562818,7.1588201215550225,31.467770472882492,2.142538905129185,2029.0,0.17158515617665254,102.47791716154462,7.428546439016114,17.583689420821695,1.274628300904096,2030.0
00-0026300,QB,QB,statline,post-2025-season,basic_cohort_3col_plus_lags,"{""statline_position"": ""QB""}",QB,2025,resolved,3,0,0.4872295769515082,8.346456047095852,3.153293088857718,4.066640248870869,1.5363776576882606,2026.0,0.23883373165466967,18.520479112914966,3.8461862791233594,4.423315138569848,0.9185990216820209,2027.0,0.14247258623023193,9.761785606138686,3.350939463881935,1.3907868415316307,0.4774170117202061,2028.0,0.08203132250567916,5.137002990109359,2.9209079861109952,0.421395148994299,0.23960594501808485,2029.0,0.041860458601760055,4.958599577078563,2.103672380563281,0.2075692523190021,0.08806069059823524,2030.0
00-0026498,QB,QB,statline,post-2025-season,basic_cohort_3col_plus_lags,"{""statline_position"": ""QB""}",QB,2025,resolved,20,0,0.9796178010584935,273.7807681897434,13.966511732241882,268.2005141061416,13.681843511596444,2026.0,0.9221004790617953,263.27130601321716,13.279202988050887,242.76259739801205,12.244759436840546,2027.0,0.8745155302524361,241.21543611681827,12.302636484617494,210.94664502077197,10.758846668848234,2028.0,0.7984704649081981,234.6219172877868,11.767539956295476,187.33867137443193,9.396033099729046,2029.0,0.694084093892989,226.9617422600511,11.478224185660688,157.53053522494167,7.966852833404889,2030.0
00-0027973,QB,QB,statline,post-2025-season,basic_cohort_3col_plus_lags,"{""statline_position"": ""QB""}",QB,2025,resolved,4,0,0.4939021375239337,24.533764298097875,4.095271489052164,12.11727862833891,2.022663342183687,2026.0,0.3585651066380081,22.46897574870733,3.8061285091100165,8.056590685382062,1.364744874746996,2027.0,0.16300716180975278,23.060546522992396,4.037113211074586,3.7590342384947535,0.6580783664419256,2028.0,0.11473681446413206,17.44476810839694,3.6550044722243733,2.0015571218229478,0.4193635699951808,2029.0,0.07423281896954297,15.889676827752606,3.7792384775667536,1.1795355034391009,0.280543525747944,2030.0
00-0028118,QB,QB,statline,post-2025-season,basic_cohort_3col_plus_lags,"{""statline_position"": ""QB""}",QB,2025,resolved,6,0,0.7066912088206487,71.54645397493798,6.006768737094279,50.561250046379826,4.244930659923238,2026.0,0.5323700669063708,69.4573556592295,5.705774299221496,36.977017079443605,3.037583445429199,2027.0,0.3187952219177866,58.26623637869834,5.367420152018507,18.574997756661347,1.7111078984887398,2028.0,0.23811575513958194,51.16424172498457,4.916155512049634,12.183012054488808,1.1706140821353166,2029.0,0.1431473218976387,46.91476680542424,5.035413681538195,6.715723225648719,0.720805983158922,2030.0
00-0029263,QB,QB,statline,post-2025-season,basic_cohort_3col_plus_lags,"{""statline_position"": ""QB""}",QB,2025,resolved,6,0,0.6953140000623443,83.88488618558473,6.938657430848829,58.32633575847341,4.824545653305808,2026.0,0.561331241316151,77.0869129990764,6.616748480811989,43.271292563001694,3.7141876382109498,2027.0,0.3376187490550492,76.97269854858635,6.5710054926973935,25.987426195365124,2.2184946544783513,2028.0,0.2213971827100715,68.90190281831588,6.14522190442194,15.25468716733827,1.3605348167672378,2029.0,0.166627705723392,64.18176593459522,6.069066891040951,10.694460406957358,1.0112746919359532,2030.0
00-0029604,QB,QB,statline,post-2025-season,basic_cohort_3col_plus_lags,"{""statline_position"": ""QB""}",QB,2025,resolved,10,0,0.8300190840899632,114.25964304012629,8.355679322997885,94.83768426461177,6.935373298624148,2026.0,0.6702585160277453,109.34810181111186,8.06178231187541,73.29149645036665,5.403478248896338,2027.0,0.49104372163415017,104.18421259942872,7.801581357107384,51.159003490347,3.830917544225614,2028.0,0.355424972428674,98.40609351468925,7.401340539861829,34.97598307427194,2.630621257315618,2029.0,0.2663279884926347,93.46722655714579,7.157346585608437,24.892938438950008,1.9062017190897222,2030.0
00-0029892,RB,FB,roster_same_season,post-2025-season,basic_cohort_3col_plus_lags,"{""statline_position"": ""FB"", ""roster_positions"": [""RB""], ""roster_depth_positions"": [""FB""], ""roster_weeks"": [20], ""offensive_roles_seen"": [""RB""]}",FB,2025,resolved,18,0,0.6406774549029145,35.32401577078411,10.174831485020416,22.631300520976374,6.518785139888922,2026.0,0.20423363198385333,12.681574737421101,9.175640515771605,2.590004067898193,1.8739743883142321,2027.0,0.07984042252846639,13.732530153885063,8.895405771704416,1.096411009871089,0.7102129553750393,2028.0,0.041914793007633684,11.926917506031971,8.505683672728603,0.49991427848445263,0.35651397053082884,2029.0,0.018917066473528043,0.0,8.641182051953146,0.0,0.16346581528665513,2030.0
00-0030035,WR,WR,statline,post-2025-season,basic_cohort_3col_plus_lags,"{""statline_position"": ""WR""}",WR,2025,resolved,15,0,0.3757128591503537,35.79319117555404,9.504870067135581,13.447962194682619,3.5711019087761233,2026.0,0.14426252743014828,11.398417639564382,8.128962611551351,1.6443645373879427,1.1727046917275765,2027.0,0.039698507465406985,8.590841692876324,7.791154090173212,0.34104359307878035,0.30929718881287743,2028.0,0.015637972469679722,0.0,7.0698826799786785,0.0,0.11055863071337206,2029.0,0.005384083693552934,0.0,7.706744259734336,0.0,0.041493756099218314,2030.0
00-0030061,TE,TE,statline,post-2025-season,basic_cohort_3col_plus_lags,"{""statline_position"": ""TE""}",TE,2025,resolved,13,0,0.767646310523947,102.11126997011772,11.266126811058735,78.38533965547558,8.648400680404158,2026.0,0.4417412662669129,84.10366594183718,10.529396794295248,37.15205989083659,4.6512690729387565,2027.0,0.210228965987776,80.24201871184823,9.481780999165899,16.869196622563628,1.9933450151771883,2028.0,0.0912343482724037,75.07059709272595,9.012718979912608,6.849017000175056,0.8222695422946499,2029.0,0.04086043516293106,61.00667356716522,9.374060074063243,2.4927592297972545,0.38302817386968185,2030.0
00-0030279,WR,WR,statline,post-2025-season,basic_cohort_3col_plus_lags,"{""statline_position"": ""WR""}",WR,2025,resolved,18,0,0.8712717305669211,118.23786833574114,11.658640240478732,103.01731216342495,10.15784365837905,2026.0,0.5602535785332545,94.90851869011382,10.341849002247589,53.17283722942654,5.794057912159779,2027.0,0.2798769000450972,77.98833276234237,9.514952792075869,21.82713281320987,2.6630154915216364,2028.0,0.11947468551249725,38.509029011885474,8.611889329537632,4.60085413058665,1.0289027693149395,2029.0,0.045810548056159986,32.63581414179987,8.970580307665664,1.4950645320948286,0.4109472002759603,2030.0
00-0030431,WR,WR,statline,post-2025-season,basic_cohort_3col_plus_lags,"{""statline_position"": ""WR""}",WR,2025,resolved,0,1,0.05123712771790844,0.0,5.354874094762687,0.0,0.2743683679066751,2026.0,0.020847011711579898,0.0,5.991671466739132,0.0,0.12490844523904979,2027.0,0.009863115228940704,0.0,6.0875440425039065,0.0,0.06004214835246753,2028.0,0.004451322081828798,0.0,5.695514147118915,0.0,0.025352567890438736,2029.0,0.001157330617706845,0.0,6.067591835210593,0.0,0.0070222098066372845,2030.0
00-0030506,TE,TE,statline,post-2025-season,basic_cohort_3col_plus_lags,"{""statline_position"": ""TE""}",TE,2025,resolved,17,0,0.8757665389582453,135.35850057212127,12.730337831959162,118.54244556462432,11.148803902864087,2026.0,0.5749688182159183,103.00895248237182,11.393070731791457,59.22693567444901,6.550660414508502,2027.0,0.28992153151448147,108.94085806206385,10.506396032668292,31.5843004138553,3.046030428488863,2028.0,0.12784528238903783,102.51633817586982,10.144613418521413,13.106230203584177,1.2969409672184924,2029.0,0.054803767446200434,78.93115023201479,10.285112645740396,4.325724401576448,0.563662921595132,2030.0
00-0030564,WR,WR,statline,post-2025-season,basic_cohort_3col_plus_lags,"{""statline_position"": ""WR""}",WR,2025,resolved,17,0,0.7390186873598132,40.85227214593136,10.13974597699887,30.190592536952053,7.493461762083652,2026.0,0.3557951070439988,22.54967345847004,9.036427780029108,8.023063481963566,3.215116789290821,2027.0,0.14010344155538623,14.006631735619173,8.435500286274042,1.962377310759139,1.181842621348439,2028.0,0.06093952933075522,0.0,7.41912026920342,0.0,0.45211769725352235,2029.0,0.0216450202487879,0.0,7.621064334768259,0.0,0.16495809184337426,2030.0
00-0030565,QB,QB,statline,post-2025-season,basic_cohort_3col_plus_lags,"{""statline_position"": ""QB""}",QB,2025,resolved,15,0,0.9199918012320422,167.3692272388884,10.965736088245523,153.97831683831993,10.088387295660207,2026.0,0.8267272615704546,157.09791726809544,10.248044247312688,129.87713094147438,8.472337557033669,2027.0,0.6921233430042263,152.90958118110876,10.088208594453164,105.83229050444513,6.982284657316891,2028.0,0.5827794880894134,148.4009463064367,9.6844742912604,86.4850275204497,5.643912969875821,2029.0,0.48397978227161004,145.8869951729027,9.580253052214056,70.60635616004086,4.636648786317487,2030.0
00-0030578,RB,RB,statline,post-2025-season,basic_cohort_3col_plus_lags,"{""statline_position"": ""RB""}",RB,2025,resolved,0,1,0.023464463081401588,0.0,5.395264568583528,0.0,0.12659698628392227,2026.0,0.00878752709424236,0.0,7.127355723739642,0.0,0.06263183153266547,2027.0,0.004105032672756956,2.4806609520875185,7.486854327129617,0.01018319425835164,0.03073378162903887,2028.0,0.0036655900685981417,0.0,7.478902636073779,0.0,0.027414591226804508,2029.0,0.0018936101437060937,0.0,7.316214493050417,0.0,0.013854057977569806,2030.0
00-0031235,WR,WR,statline,post-2025-season,basic_cohort_3col_plus_lags,"{""statline_position"": ""WR""}",WR,2025,resolved,0,1,0.031146767910617996,0.0,5.013043695764095,0.0,0.15614010851775095,2026.0,0.013079578626078944,0.0,5.590301480842825,0.0,0.07311878776216929,2027.0,0.006003212302157083,0.0,5.935510790253435,0.0,0.03563213139563553,2028.0,0.002749717691754435,0.0,5.8956450617057685,0.0,0.016211359530477018,2029.0,0.0008555695899679984,0.0,6.38880818833539,0.0,0.0054660700020783,2030.0
00-0031236,WR,WR,statline,post-2025-season,basic_cohort_3col_plus_lags,"{""statline_position"": ""WR""}",WR,2025,resolved,15,0,0.6246892364166847,37.62493708110809,9.455001545427137,23.50389321542322,5.906437695731452,2026.0,0.26272060559973925,21.526865795261614,8.424520052132392,5.655551218395444,2.213295009983369,2027.0,0.10022702621934963,12.603797222882045,7.892480250258014,1.2632411147211648,0.7910398249783092,2028.0,0.03964461729855527,0.0,7.286300741595009,0.0,0.2888626044227136,2029.0,0.01621758371300884,0.0,7.853965584158639,0.0,0.1273723443401831,2030.0
00-0031237,QB,QB,statline,post-2025-season,basic_cohort_3col_plus_lags,"{""statline_position"": ""QB""}",QB,2025,resolved,3,0,0.5129848955945036,0.6397602118283152,2.416151474753213,0.32818732547026574,1.2394492120167828,2026.0,0.347658196884337,0.6160915392432716,2.5768294802934557,0.21418927364901158,0.895855890797226,2027.0,0.2183733652941817,0.6020011140702829,2.7494884847204504,0.13146100919037423,0.600415053246005,2028.0,0.18272942579928922,0.5905199744748392,2.6933881242446818,0.1079053758587983,0.4921612653978554,2029.0,0.11703668374093451,0.5857574561930378,2.671904140225762,0.06855511014935886,0.31271079984569605,2030.0
00-0031280,QB,QB,statline,post-2025-season,basic_cohort_3col_plus_lags,"{""statline_position"": ""QB""}",QB,2025,resolved,0,1,0.33038077671059624,59.39435304314739,5.756634249769695,19.6227524906184,1.9018812946777321,2026.0,0.26835733042939214,57.72817230984012,6.006087453040367,15.49177821163665,1.61177759522338,2027.0,0.2661327178373363,56.046364633854495,5.555687498996539,14.91577134491006,1.4785502135628623,2028.0,0.1428217128060683,44.104456958376275,5.1883528797452705,6.299074085176818,0.7410094449275165,2029.0,0.09622083056338343,34.58342930882794,4.4920729371760935,3.3276462918254817,0.432230988966381,2030.0
00-0031299,TE,TE,statline,post-2025-season,basic_cohort_3col_plus_lags,"{""statline_position"": ""TE""}",TE,2025,resolved,0,1,0.041926208406983696,0.0,2.9402533306989316,0.0,0.12327367391221136,2026.0,0.013949392623575065,0.0,4.2411029569664045,0.0,0.05916081030372956,2027.0,0.007380445704180459,0.0,4.534593859981395,0.0,0.03346732377410277,2028.0,0.0039857462762880715,0.0,5.205413788146817,0.0,0.020747458622644762,2029.0,0.0025723433860517725,0.0,6.700339218882018,0.0,0.01723557327399446,2030.0
00-0031345,QB,QB,statline,post-2025-season,basic_cohort_3col_plus_lags,"{""statline_position"": ""QB""}",QB,2025,resolved,3,0,0.399481301317922,31.261185609618156,4.526810249835228,12.488259108071357,1.8083760494234844,2026.0,0.41841633261763855,18.016603211158873,3.431246126254518,7.538441041840266,1.4356894204558943,2027.0,0.1398587788628789,27.394528430727902,4.254481519312386,3.8313652938460225,0.595026589985716,2028.0,0.1167618640913918,19.35774425224795,3.802737386026476,2.260246303496896,0.44401470584247793,2029.0,0.0791573703544925,23.292939307156413,4.69977716569894,1.843807823381296,0.37202200168881805,2030.0
00-0031381,WR,WR,statline,post-2025-season,basic_cohort_3col_plus_lags,"{""statline_position"": ""WR""}",WR,2025,resolved,17,0,0.9103554720006959,175.20830379979736,12.662895080288541,159.50183810410584,11.527735827711364,2026.0,0.6891278420092116,148.14746544208367,11.362889948500037,102.09254315923738,7.830483829197992,2027.0,0.4151444549426144,126.34565588311031,10.480720254783352,52.45169844596096,4.3510128975780535,2028.0,0.19617667788290652,81.3619690494731,9.65579451183163,15.961320794137494,1.8942416896511303,2029.0,0.07921620857665518,71.83134434992265,10.014587000559256,5.690206756365014,0.7933176126453616,2030.0
00-0031408,WR,WR,statline,post-2025-season,basic_cohort_3col_plus_lags,"{""statline_position"": ""WR""}",WR,2025,resolved,8,0,0.5774754191991305,98.27422153444155,9.857226684967529,56.75094727706985,5.692306112042479,2026.0,0.32379963478953544,76.89130046568589,9.270886008869047,24.897375009281525,3.001909503847211,2027.0,0.14861063913096234,61.59729821819529,8.736020895720102,9.15401385694649,1.2982656487744066,2028.0,0.0671578718987401,38.27609370215001,8.060342604920047,2.570540997633163,0.5413154561211776,2029.0,0.02430951848489015,37.33494878587871,8.688471471853122,0.9075946276427456,0.2112125578504542,2030.0
00-0031428,WR,WR,statline,post-2025-season,basic_cohort_3col_plus_lags,"{""statline_position"": ""WR""}",WR,2025,resolved,0,1,0.030153415981951887,0.0,4.7521225382144205,0.0,0.14329272769198848,2026.0,0.012395205967654204,0.0,5.264617916671312,0.0,0.06525602341814349,2027.0,0.005864760079413329,0.0,5.745685286348171,0.0,0.033697065696247294,2028.0,0.002869809139659734,0.0,5.754842463016565,0.0,0.01651529949766687,2029.0,0.001016582899281593,0.0,6.4225341407676835,0.0,0.006529038377556627,2030.0
00-0031484,TE,TE,statline,post-2025-season,basic_cohort_3col_plus_lags,"{""statline_position"": ""TE""}",TE,2025,resolved,4,0,0.21252442542950858,0.38257226616007195,5.39551853448322,0.08130595105093433,1.1466794764353105,2026.0,0.0770941677984218,0.0,5.271810522286664,0.0,0.4064258450066538,2027.0,0.030781546869290088,0.36113176851318857,5.04956256526516,0.011116194458478333,0.1554333467721222,2028.0,0.015787563086529028,0.3510032994650232,5.063236291114936,0.005541486733883894,0.0799361623679803,2029.0,0.008838314666083072,0.0,6.460881917092937,0.0,0.05710330740367342,2030.0
00-0031503,QB,QB,statline,post-2025-season,basic_cohort_3col_plus_lags,"{""statline_position"": ""QB""}",QB,2025,resolved,3,0,0.8108065435625068,88.0204056578196,6.867288479168808,71.36752087438643,5.568042435441486,2026.0,0.6821024414084808,89.00900987911328,7.297389027889272,60.71326294589475,4.977566871830732,2027.0,0.6218116877542983,83.07279880896755,6.684833274538872,51.65563723387737,4.156707460797108,2028.0,0.45885623675943354,76.81730090500773,6.591377278691202,35.24809761128888,3.024494573161881,2029.0,0.4043962242740061,66.85720405495333,6.088396677226546,27.036800885339897,2.46212462815282,2030.0
